date,time,name,images,logo,category,details,instructions,tagline,priceline,developer,timeline,info,verification,help,privacy_policy,url
2022-01-08,06:40:38 PM,EvaluAgent - Quality,"https://d3h0owdjgzys62.cloudfront.net/images/93821/live_screenshot/large2x/Agent_Engagement___Dashboard.png, https://d3h0owdjgzys62.cloudfront.net/images/93821/live_screenshot/large2x/Agent_Engagement___Guides.png, https://d3h0owdjgzys62.cloudfront.net/images/93821/live_screenshot/large2x/Feedback_and_Engagement.png, https://d3h0owdjgzys62.cloudfront.net/images/93821/live_screenshot/large2x/Calibration_session.png, https://d3h0owdjgzys62.cloudfront.net/images/93821/live_screenshot/large2x/Coaching_form.png",https://d3h0owdjgzys62.cloudfront.net/images/93821/live_cover_art/thumb2x/ea_icon.png,"Agent Productivity,, Reporting & Analytics","Helping improve service quality as you scale, the EvaluAgent Quality Assurance and Coaching platform is packed with features: 

-	Connect and import filtered Freshdesk conversations in real-time.
-	Evaluate agents, conversations and tickets across every channel.
-	Generate insight and share reports with advanced analytics.
-	Demonstrate compliance and prove the fair treatment of customers with every evaluation and action stored securely. 
-	Eliminate inconsistencies and bias from evaluators with Calibration.
-	Drive improvement with real-time notifications.
-	Support learning and development with feedback and coach.
-	Unlimited integrations. Bring your tech-stack together and provide admins with a single view of the truth.
-	Engage agents throughout the QA process with their very own dashboard.

For more information, and to start your free 30-day trial, please visit - https://www.evaluagent.com/software 

Alternatively, why not watch our grand tour: https://vimeo.com/318441015","To authenticate with EvaluAgent from the Freshdesk app you will need to enter the EvaluAgent API Key and Secret. This information can be found within EvaluAgent by clicking on the Apps menu and then Admin. From the admin screen click on Integrations > API - there is a user guide for this available here: https://support.evaluagent.com/hc/en-us/articles/360009301892-How-do-I-access-admin-settings-

From the API  tab you can generate new credentials by pressing ""Create new API Key"". You will be asked to provide a name for the key, here you could enter ""Freshdesk"". Please make a note of the generated key and secret as these will only be displayed once.

These credentials should then be entered in to Freshdesk when prompted.","Integrate Freshdesk with Evaluagent to easily evaluate, coach and engage your agents",Free,Published by EvaluAgent®,About about 2 years ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:support@evaluagent.com, https://support.evaluagent.com/hc/en-us",,https://www.freshworks.com/apps/freshdesk/evaluagent_qa/
2022-01-08,06:41:22 PM,3CX Click to Call,"https://youtu.be/vOhcY8U9a_8, https://d3h0owdjgzys62.cloudfront.net/images/3886/live_screenshot/large2x/Screenshot_1.png, https://d3h0owdjgzys62.cloudfront.net/images/3886/live_screenshot/large2x/Screenshot_2.png, https://d3h0owdjgzys62.cloudfront.net/images/3886/live_screenshot/large2x/Screenshot_3.png, https://d3h0owdjgzys62.cloudfront.net/images/3886/live_screenshot/large2x/Screenshot_4.png",https://d3h0owdjgzys62.cloudfront.net/images/3886/live_cover_art/thumb2x/3cx_logo_400x400.png,"Agent Productivity,, Chat, Video & Telephony","The 3CX Click to Call app enables users to be called directly from Freshdesk via the 3CX Web Client.
 
The app displays an additional dropdown in the contact details of a ticket named freshdesk Click to Call. 
The available contact phone numbers are displayed and when clicked, will make a call from the freshdesk web page using the 3CX Webclient. 

This eliminates the need to dial, copy, paste or edit numbers from emails or websites offering instant outbound dialing and increasing productivity and collaboration for users.

-Automate tedious and time consuming workflow processes for staff
-Boost productivity and increase sales and customer satisfaction
-Works seamlessly with the 3CX Web Client
-Phone Number Detection – Detect All or International Numbers
-Highlighted Contacts – Numbers are identified and formatted for outbound call dialing.","1. Install the app from the Freshdesk Marketplace.
2. Upon installation, you will be asked to enter the URL of the 3CX Web Client, e.g. https://mycompany.3cx.us/webclient or https://mycompany.3cx.us:5001/webclient
3. Refresh your Freshdesk tab and you will immediately be able to make calls from Freshdesk via the 3CX web client.",Dial numbers directly from Freshdesk with the 3CX Click to Call App.,Free,Published by 3CX,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:customers@3cx.com, https://www.3cx.com/support",,https://www.freshworks.com/apps/freshdesk/3cx_click_to_call/
2022-01-08,06:41:33 PM,Migrate from Zendesk App,"https://d3h0owdjgzys62.cloudfront.net/images/5191/live_screenshot/large2x/zendesk_prod_screenshot1.png, https://d3h0owdjgzys62.cloudfront.net/images/5191/live_screenshot/large2x/zendesk_prod_2.png, https://d3h0owdjgzys62.cloudfront.net/images/5191/live_screenshot/large2x/zendesk_prod_3.png, https://d3h0owdjgzys62.cloudfront.net/images/5191/live_screenshot/large2x/zendesk_prod_4.png, https://d3h0owdjgzys62.cloudfront.net/images/5191/live_screenshot/large2x/zendesk_prod_5.png",https://d3h0owdjgzys62.cloudfront.net/images/5191/live_cover_art/thumb2x/zd_migration.png,Data Sync & Migration,"With the Zendesk migration tool, you can seamlessly migrate all your tickets, replies, notes and more to Freshdesk. The following will be imported:
1. Users/Agents
2. Companies/Groups
3. Tickets
4. Forums
5. Knowledge Base Articles

The migration is thoroughly secure with the data fully transmitted under SSL. For more details visit -  https://support.freshdesk.com/support/solutions/articles/224766-zendesk-to-freshdesk-migration/","Please go through the pre-import checklist.

1. Connect to your Zendesk account by providing the requested details.
2. Choose the settings you would like to import from Zendesk.
3. Click on ""Save & Import""
4. Sit back and get a cup of coffee.

Note: This tool is optimised for migrating a low volume of tickets from your Zendesk account. If you have greater than 200,000 tickets, please reach out to our support team at support@freshdesk.com to assist with the migration.","Easily move all your support tickets, conversations and more from your Zendesk account to Freshdesk",Free,Published by Freshdesk,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:support@freshdesk.com, https://support.freshdesk.com",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshdesk/migrate_from_zendesk_app/
2022-01-08,06:42:40 PM,FRESHDESK - ASANA INTEGRATION,"https://d3h0owdjgzys62.cloudfront.net/images/87742/live_screenshot/large2x/app.PNG, https://d3h0owdjgzys62.cloudfront.net/images/87742/live_screenshot/large2x/app_1.PNG, https://d3h0owdjgzys62.cloudfront.net/images/87742/live_screenshot/large2x/createtask.PNG, https://d3h0owdjgzys62.cloudfront.net/images/87742/live_screenshot/large2x/link.PNG, https://d3h0owdjgzys62.cloudfront.net/images/87742/live_screenshot/large2x/notify.PNG",https://d3h0owdjgzys62.cloudfront.net/images/87742/live_cover_art/thumb2x/asana_Logo.png,Issue Tracking & Alerts,"Asana Integration App by IntegrateCloud allows  users to create Asana tasks right inside the Freshdesk form. It also allows you to link existing Freshdesk  tickets to an existing Asana task. In addition, it allows agents to notify the Asana team, by sending comments to Freshdesk Support.

We also support customization based on customer request and tailored to your needs! We bring Asana closer to your business model!

The App has three buttons 'Create Task', 'Link', 'Notify'.

-Create Task: Click the Create Task button and select the workspace and project type of asana task you want to create. Based on the selection it will load all the Asana task fields. The user can make the selection and click the Create button which would create an asana task in Asana and then display the corresponding Asana task ID in the app. 
-Link:  This tab allows you to link an existing Freshdesk ticket. It can be linked to one or multiple Asana tasks. 
-Notify: This tab allows the user to send notifications to the Asana team which would show up as comments in Asana linked task.","1. Generate a Freshdesk API Key by referring to following link: https://support.freshdesk.com/support/solutions/articles/215517-how-to-find-your-api-key
2. Generate an Asana token by referring to following link: https://integratecloud.azuredesk.co/SupportHome/Articles?query=5748_Zendesk_Asana_App_by_IntegrateCloud_?articleID=6331
3. Click the Install button in Freshdesk.
3.  Enter the Freshdesk Domain (Your Freshdesk subdomain) e.g. if your Freshdesk URL is https://abc.freshdesk.com, here abc is your Freshdesk subdomain.
4. Enter the Freshdesk API Key as generated in the first step.
5. Enter your Asana token as generated in the second step.
6. Click Validate to validate the app.
7. After the app is validated successfully, click the Install button to install the app.
8. Go to any of your Freshdesk tickets to use the app.","Simple integration between Freshdesk and Asana. Create, link,notify your Asana tasks.",Free,Published by sotiriszegiannis,About over 1 year ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:ca@integratecloudinc.onmicrosoft.com, https://integratecloud.azuredesk.co",,https://www.freshworks.com/apps/freshdesk/freshdesk_-_asana_integration/
2022-01-08,06:42:51 PM,QuickBooks,"https://d3h0owdjgzys62.cloudfront.net/images/6074/live_screenshot/large2x/5_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/6074/live_screenshot/large2x/4_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/6074/live_screenshot/large2x/3_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/6074/live_screenshot/large2x/2_freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/6074/live_screenshot/large2x/1_freshworks_crm.png",https://d3h0owdjgzys62.cloudfront.net/images/6074/live_cover_art/thumb2x/integrations_quickbooks_invoice.png,"Payments, Accounting & Billing","Manage payments and invoices for your contacts inside the CRM by integrating with QuickBooks.

What do you get from this Integration?

1. View your customer invoices in the CRM under the respective lead or contact
2. Get a summary of total paid and unpaid amount for each account, deal, contact and lead.
3. Get notified when your lead or contact makes a payment
4. Pin QuickBooks invoices against your lead in the CRM
5. Search your QuickBooks invoice without leaving the CRM","1. Login into the CRM as an Admin.
2. Go to Admin Settings > Integrations > Third party integration > QuickBooks.
3. Enable the toggle. Click the Connect to QuickBooks button from the page you are directed to.
4. You are directed to the QuickBooks page. If you’ve already logged in, just click on Authorize to proceed.
5. Else, sign into your QuickBooks account and then click Authorize.
6. Upon successful authorization, you’ll be directed to the QuickBooks integration page under the CRM Admin Settings.
7. Your Company name and Email as mentioned in the integrated QuickBooks account appears here.
8. If you choose to be notified every time a contact makes payment, enable the checkbox.
9. Hit Save.",Manage payments and invoices for your contacts inside the CRM by integrating with QuickBooks.,Free,Published by Freshsales,About almost 5 years ago in,"Works with
             
                  Freshsales Suite",Verified by Freshworks,"mailto:crm-support@freshworks.com, https://crmsupport.freshworks.com/support/home",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshworks_crm/quickbooks_invoice_fsales/
2022-01-08,06:43:25 PM,Automox,"https://d3h0owdjgzys62.cloudfront.net/images/29091/live_screenshot/large2x/screenshot_1.png, https://d3h0owdjgzys62.cloudfront.net/images/29091/live_screenshot/large2x/screenshot_2.png, https://d3h0owdjgzys62.cloudfront.net/images/29091/live_screenshot/large2x/Automox_FS_v1.1___Device_Actions.png, https://d3h0owdjgzys62.cloudfront.net/images/29091/live_screenshot/large2x/Automox_FS_v1.1___DeviceStatus.png, https://d3h0owdjgzys62.cloudfront.net/images/29091/live_screenshot/large2x/Automox_FS_v1.1___Trigger_Policy.png",https://d3h0owdjgzys62.cloudfront.net/images/29091/live_cover_art/thumb2x/app_icon.png,Field Service Management,"Automox is a cloud-native endpoint hardening solution that provides a policy driven approach to enforce OS & third-party software patch management, security and device configurations. 

With Automox integration for Freshservice, you can:

●	Sync device information from Automox to Freshservice
●	View device health and patch statuses right from within Freshservice
●	Patch devices, Deploy software and Enforce device policies from Freshservice","Note: You need an Automox account to integrate Freshservice to Automox.

●	Log in to your Freshservice Admin console, navigate to Admin -> Apps and click  “Get more Apps”
●	Search for the Automox app, click the icon and then click Install.
●	Enter your Freshservice domain and API Key. (To get the API Key, click the user profile icon at the top-right corner of the screen, click Profile Settings and copy the API key from the right panel.)
●	Enter the Automox API key and click Next. (To get the Automox API Key, got to Automox -> Settings -> API and copy the API Key.)
●	Select how often you wish to sync the asset information and enter the organization name. 
●	Click Install and the app will be installed in your account. The device sync will start immediately.
●	Once the devices have synced, you can view the device status and perform device actions for these devices from the Ticket view page or the Device detail page.",Automate your critical and fundamental tasks and enable the IT infrastructure to remain up-to-date.,Free,Published by Codup,About 3 months ago in,"Works with
             
                  Freshservice",Verified by Freshworks,"mailto:fwsupport@codup.io, https://codupio.freshdesk.com",https://codup.co/privacy-policy/,https://www.freshworks.com/apps/freshservice/automox/
2022-01-08,06:45:05 PM,Chargify 2,"https://d3h0owdjgzys62.cloudfront.net/images/78863/live_screenshot/large2x/Webp.net_resizeimage__10__freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/78863/live_screenshot/large2x/Webp.net_resizeimage__11__freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/78863/live_screenshot/large2x/Webp.net_resizeimage__9__freshworks_crm.png, https://d3h0owdjgzys62.cloudfront.net/images/78863/live_screenshot/large2x/Webp.net_resizeimage__8__freshworks_crm.png",https://d3h0owdjgzys62.cloudfront.net/images/78863/live_cover_art/thumb2x/icon__1___1_.jpg,"Payments, Accounting & Billing","This integration of your Chargify and Freshworks CRM accounts enables you to view your customers’ subscription details inside Freshworks CRM itself, without having to switch tabs. 
With this integration, you can:

View subscriptions, invoices and payments of your contacts and accounts from within Freshworks CRM.
View and filter the data by subscription status
Get a summary of total paid and unpaid amounts for each contact and Account.
View the active, inactive subscriptions for each  contact and Account
Get a view of the Chargify invoices within Freshworks CRM itself, without leaving it.","To enable the integration,

Login as an Admin in your Freshworks CRM account
Go to Admin settings>>Marketplace Apps>>Chargify 2
Click the “Add new account” button. 
Enter your Freshworks CRM domain name and API key,  Chargify domain name and API key and Click “Proceed” button
Now, hit the “Save” button and you are good to go.","Manage your customers’ Chargify subscriptions, invoices and payments inside Freshworks CRM.",Free,Published by Arbaan GT Private Limited,About 10 months ago in,"Works with
             
                  Freshsales Suite",Verified by Freshworks,"mailto:support@arbaan.com, https://www.arbaan.com",https://www.arbaan.com/,https://www.freshworks.com/apps/freshworks_crm/chargify_2/
2022-01-08,06:45:40 PM,Cleverly,"https://d3h0owdjgzys62.cloudfront.net/images/93002/live_screenshot/large2x/freshdesk_screen_3_freshdesk.png, https://d3h0owdjgzys62.cloudfront.net/images/93002/live_screenshot/large2x/freshdesk_screen_2_freshdesk.png, https://d3h0owdjgzys62.cloudfront.net/images/93002/live_screenshot/large2x/freshdesk_screen_1_freshdesk.png",https://d3h0owdjgzys62.cloudfront.net/images/93002/live_cover_art/thumb2x/logo_cropped.png,"Bots & Workflows,, Knowledge & Content Management","Cleverly is an easy-to-use platform designed to make your customer service operations more efficient. We offer real-time triage, agent assistance, automated workflows and replies, knowledge management, and customer self-service — all seamlessly integrated with your Freshdesk account with just the click of a button.

Our AI models learn from your data and from every customer interaction continuously, to keep improving over time and scale with your business. Cleverly's one-click integration is easy to set up and requires no AI knowledge or training from your side.

Integrating with Cleverly will allow you to:
- Categorize and prioritize customer requests;
- Suggest always up-to-date procedures and replies to your agents;
- Automatically handle simple and repetitive requests.

As a result, you will be able to remove manual and repetitive work from your agents' tasks, reduce reply times and provide 24/7 support to customers, improving CSAT and optimizing operations altogether. Cleverly also provides actionable metrics and insights for you to keep track of your Cleverly usage and make the best of it.","To get Cleverly up and running:

- Install the Cleverly app via the Freshworks Marketplace and go through the setup flow to authorize Cleverly.
- Once you've installed the app, navigate to a ticket and our Assist Widget will show on the ticket sidebar, on the left side of your screen.
- Since Cleverly for Freshworks requires an account and subscription, get in touch with our team at go@cleverly.ai to discuss your needs or request a demo on our website.","Improve your support efficiency with AI-based triage, automation, and agent assistance.",Free,Published by Cleverly,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:support@cleverly.ai, https://cleverly.ai/",https://cleverly.ai/privacy-policy/,https://www.freshworks.com/apps/freshdesk/cleverly/
2022-01-08,06:45:41 PM,Onelogin - Orch,"https://d3h0owdjgzys62.cloudfront.net/images/33253/live_screenshot/large2x/OneLoginIntegration_5_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/33253/live_screenshot/large2x/OneLoginIntegration_4_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/33253/live_screenshot/large2x/OneLoginIntegration_2_freshservice.png, https://d3h0owdjgzys62.cloudfront.net/images/33253/live_screenshot/large2x/OneLoginIntegration_1_freshservice.png",https://d3h0owdjgzys62.cloudfront.net/images/33253/live_cover_art/thumb2x/Onelogin_Mark_black_RGB.png,"Assets & Incident Management,, Orchestration Apps","The OneLogin application lets you automate repeatable actions within Freshservice and also helps you track accurate usage information for SaaS Management. 

Learn More: https://support.freshservice.com/support/solutions/folders/50000000554

Orchestration

Orchestration apps give you the ability to automate several repeatable actions that span across a diverse set of systems by performing specific actions with Freshservice Workflows. With the OneLogin app you can perform actions for:
- User Management
- Role Management

For an exhaustive list of actions and sample use cases please refer to the documentation available in the following URL:
https://support.freshservice.com/support/solutions/articles/50000003302


Saas Management

Freshservice’s direct integrations for SaaS management enable accurate and reliable user and usage data discovery. Integrate with OneLogin to:

- Discover and track the usage of apps that employees authenticate using OneLogin.
- Manage users and their data for these apps
- Track their 60-day login history in Freshservice with 24-hour sync ensuring updated information. 
- This integration requires the SaaS Management Add-on. More details can be found here: 
   https://support.freshservice.com/en/support/solutions/articles/50000003270","View detailed instructions to set up the integration here:

https://support.freshservice.com/support/solutions/articles/50000003302

1. Log in to your OneLogin Owner account. 
2. Click on Administration on the toolbar and navigate to the Admin panel. 
3. Go to Developers > API Credentials. 
4. On the API Access page, click on New Credential. 
5. Give your credential pair a meaningful name and select 'Manage all' from the list of scopes for the credentials. 
6. Click Save.  
7. Copy your Client Secret and Client Id. 
8. Click Done.","Perform operations in OneLogin using workflows and track apps, users, and usage in Freshservice",Free,Published by Freshworks,About 15 days ago in,"Works with
             
                  Freshservice",Verified by Freshworks,"mailto:support@freshservice.com, https://support.freshservice.com",https://www.freshworks.com/privacy/,https://www.freshworks.com/apps/freshservice/onelogin_-_orch/
2022-01-08,06:47:20 PM,AmeyoR4,"https://d3h0owdjgzys62.cloudfront.net/images/51221/live_screenshot/large2x/Confer_and_Transfer_Calls__1_.png, https://d3h0owdjgzys62.cloudfront.net/images/51221/live_screenshot/large2x/Dispose_Calls_and_Link_to_ticket__1_.png, https://d3h0owdjgzys62.cloudfront.net/images/51221/live_screenshot/large2x/CTI_POP_UP__1_.png, https://d3h0owdjgzys62.cloudfront.net/images/51221/live_screenshot/large2x/Ameyo_toolbar__1_.png, https://d3h0owdjgzys62.cloudfront.net/images/51221/live_screenshot/large2x/Agent_Login__1_.png",https://d3h0owdjgzys62.cloudfront.net/images/51221/live_cover_art/thumb2x/ameyo_400.png,"Chat, Video & Telephony","Ameyo (https://www.ameyo.com/) is a leading customer engagement technology company helping businesses across industries to connect with their customers and serve them for sales, customer services and marketing. 

Ameyo integration with Freshdesk Mint installs in your Freshdesk account and can be easily accessed to place and receive calls. It offers multiple features for contact center agents:

- Manual dial
- Click to dial
- Inbound call
- Power dialing with multiple algorithms
- Set Availability status
- Set Auto Call status
- CTI Pop Up
- Call controls such as Hold/Mute
- Transfer calls
- Conference calls
- Dispose calls
- Associate a call with a ticket
- Passing call details to Freshdesk
- Schedule Callbacks and more.

Ameyo offers high configurability for Contact Center Administrators to suit varied business use cases. Supervisors can access live monitoring, rich dashboards and reports to closely observe the operations and performance. 

Both cloud and on-premise deployments are available. Contact us to know more: https://www.ameyo.com/request-demo","Step 1: Go to Freshdesk Marketplace and install this app in your Freshdesk account.
Step 2: Provide the following information:
- Your Freshdesk Account URL
- Your Ameyo Server Domain (Contact an Ameyo representative for any support)
- API Key",Ameyo helps to communicate seamlessly with your customers and achieve maximum contact center efficiency.,Free,,About 4 months ago in,"Works with
             
                  Freshdesk",Verified by Freshworks,"mailto:prodcrm@ameyo.com, http://dca.ameyo.com",,https://www.freshworks.com/apps/freshdesk/ameyor4/
