date,time,name,images,logo,video,category,details,tagline,developer,pricing_text,similar,terms_of_service,privacy_policy,url
2022-01-08,08:18:34 PM,Google Analytics,"https://downloads.intercomcdn.com/i/o/82706956/f00f559af14d0fffa0d2de5f/App+listing+image+1.png, https://downloads.intercomcdn.com/i/o/82706955/11919b58ac2bfcb7656ca49b/App+listing+image+2.png, https://downloads.intercomcdn.com/i/o/82706953/3d196b3e6e433c7fe1c3808e/App+listing+image+3.png",https://static.intercomassets.com/developer-home/change-request-image-uploads/469/original/ga2-1538042919.png?1538042919,https://fast.wistia.net/embed/iframe/3u06bktcj1?autoPlay=false&muted=false,Analytics,"Track visitor interactions with your Messenger and measure how visitors who use the Messenger perform through the funnel. With the Google Analytics app, you can assess which messages, custom bots, or apps have the greatest impact on conversions, so that you can optimize your funnel and maximize the impact of your Messenger on your revenue goals.The app sends to your Google Analytics account key events, including when a visitor opens or closes the Messenger, starts or replies to a conversation or message, provides an email address, or interacts with an app on the home screen or in a message or conversation. In addition, event labels are included to specify the messages, bots and apps with which visitors are interacting.Learn more about the app here and see our Intercom Messenger dashboards in the Google Analytics Solutions Gallery and the Data Studio Report Gallery.",Measure the impact of your Messenger on website conversions,Built by Intercom,Some features free,,https://policies.google.com/terms?hl=en,https://policies.google.com/privacy?hl=en,https://www.intercom.com/app-store/?app_package_code=google-analytics&category=analytics
2022-01-08,08:18:35 PM,Plecto,"https://static.intercomassets.com/developer-home/change-request-image-uploads/1053/original/Plecto_1-1548080920.png?1548080920, https://static.intercomassets.com/developer-home/change-request-image-uploads/1054/original/Plecto_2-1548080949.png?1548080949, https://static.intercomassets.com/developer-home/change-request-image-uploads/1055/original/Plecto_3-1548080955.png?1548080955, https://static.intercomassets.com/developer-home/change-request-image-uploads/1056/original/Plecto_4-1548080961.png?1548080961",https://static.intercomassets.com/developer-home/change-request-image-uploads/1052/original/plecto-promo_0_5x-1548080094.png?1548080094,https://www.youtube.com/embed/r74vMueA8uI?rel=0&hd=1&autoplay=0,"Analytics, Conversation management","Display Intercom dashboards to visualize the metrics you find most important - all sourced from your Intercom account. Plecto is a dashboard software that does more than visualizing your performance. With unique gamification features, we provide you with the right tools to engage your employees.Easily import your Intercom data using our integration. Import activities, comments, average customer reply times and more. Plecto dashboards synchronize with the Intercom integration, automatically updating dashboards with real-time data. You control what, how and where your data is displayed. Fully customize your Plecto dashboards with a growing list of widgets.After connecting your Intercom account via the Plecto admin, you can start building dashboards to display around the office. Energize your team with time-limited contests. Recognize successes with automated ""win"" notifications, milestone achievements and leaderboards. Display your dashboards on the large TV screens in your office to motivate competitive salespeople and boost their performance.",Visualize your Intercom metrics with real-time dashboards,Built by Plecto,Trial for free,"Jama Analyze, DataHero, AddCharts, Grow",https://www.plecto.com/about/legal/terms-and-conditions/?utm_source=intercom&utm_medium=marketplace&utm_campaign=INT-IC-C-marketplace-A-integration-M-WW&utm_content=termsofservice,https://www.plecto.com/about/legal/terms-and-conditions/?utm_source=intercom&utm_medium=marketplace&utm_campaign=INT-IC-C-marketplace-A-integration-M-WW&utm_content=privacypolicy,https://www.intercom.com/app-store/?app_package_code=plecto&category=analytics
2022-01-08,08:18:40 PM,Slack by Supportman,"https://static.intercomassets.com/developer-home/change-request-image-uploads/4205/original/slack_hero_Intercom-1591222467.png?1591222467, https://static.intercomassets.com/developer-home/change-request-image-uploads/4206/original/slack_ratings_intercom-1591222480.png?1591222480, https://static.intercomassets.com/developer-home/change-request-image-uploads/4207/original/metrics_intercom-1591222488.png?1591222488, https://static.intercomassets.com/developer-home/change-request-image-uploads/4598/original/reminders-1596056488.png?1596056488",https://static.intercomassets.com/developer-home/change-request-image-uploads/4080/original/supportman_logo_intercom-1589858867.png?1589858867,https://www.youtube.com/embed/WqzD_xOikkU?rel=0&hd=1&autoplay=0,"Analytics, Data & Enrichment","Intercom Metrics and Ratings in Slack built Exclusively for Intercom Support Teams. Supportman is built for support teams who want to understand each other and their customers.Benefits: - Know how happy your customers are - Quickly follow up with your unhappy customers - Save time analyzing your Intercom Metrics - Promote communication around your ratings and metrics - Let the company know how they are affecting the support team - Be proactive by remembering to follow up with specific customersFeatures: - Immediately send conversation ratings to a Slack channel - Create Reminders in Intercom that are sent to Slack - Weekly team metrics and graphs for conversation volume, response times and ratings, sent to a Slack channel - Send notifications when a conversation hasn't been replied to past a threshold you set up  - Weekly individual reports sent directly to agents in Slack - Weekly shout outs for top agents in Slack",Metrics and Ratings in Slack - Exclusively for Intercom Support Teams,Built by Supportman,Trial for free,,https://supportman.io/terms,https://supportman.io/privacy,https://www.intercom.com/app-store/?app_package_code=supportengine&category=analytics
2022-01-08,08:18:41 PM,Heap,"https://static.intercomassets.com/developer-home/change-request-image-uploads/3497/original/2020-02-12_Heap_Intercom_App_Store_Images_1_resized-1581555697.png?1581555697, https://static.intercomassets.com/developer-home/change-request-image-uploads/3498/original/2020-02-12_Heap_Intercom_App_Store_Images_2_resized-1581555703.png?1581555703, https://static.intercomassets.com/developer-home/change-request-image-uploads/3499/original/2020-02-12_Heap_Intercom_App_Store_Images_3_resized-1581555710.png?1581555710",https://static.intercomassets.com/developer-home/change-request-image-uploads/2957/original/Heap-RGB_Logo-Mark-Color-512-1574371597.png?1574371597,,Analytics,"Analyze the effectiveness of Intercom messages in driving key actions in your product and long-term user retention. Use graphs, funnels, retention curves, and other visualizations in Heap to get insight into how users engage with Intercom. With this integration, you’ll be able to answer the following questions in Heap:Do users start conversations more often on certain pages than others?How does the quality of conversations (measured by ratings) impact long term customer retention?Are certain admins more effective at influencing user conversion than others?For more information, visit our docs.",Analyze key Intercom conversation events in Heap,Built by Heap,Free,,https://heap.io/tos,https://heap.io/privacy,https://www.intercom.com/app-store/?app_package_code=heap-io&category=analytics
2022-01-08,08:18:43 PM,Census,"https://static.intercomassets.com/developer-home/change-request-image-uploads/4561/original/Intercom_Mapper-1595462669.png?1595462669, https://static.intercomassets.com/developer-home/change-request-image-uploads/4562/original/Intercom_Histoy_log-1595463643.png?1595463643, https://static.intercomassets.com/developer-home/change-request-image-uploads/4565/original/Intercom_SQL_Editor-1595463659.png?1595463659, https://static.intercomassets.com/developer-home/change-request-image-uploads/4566/original/Intercom_Sync_Behavior-1595463663.png?1595463663, https://static.intercomassets.com/developer-home/change-request-image-uploads/4567/original/Intercom_Promo-1595463667.png?1595463667",https://static.intercomassets.com/developer-home/change-request-image-uploads/4560/original/icon-512-1595458914.png?1595458914,https://www.youtube.com/embed/RCKO3w-qw9g?rel=0&hd=1&autoplay=0,"Analytics, Data & Enrichment","Sync your customer data from your warehouse to IntercomCensus is an integration platform that allows you to bring the customer data that is locked in your other tools or databases into Intercom. With Census, you can bring that information to your fingertips without relying on engineering help.No Engineering Favors Required: No more relying on engineers to generate data that you have to manually import and merge into Intercom. By automating the entire data pipeline, Census puts the right data directly in your hands in Intercom.Automate Your Data Processes: Map fields and write queries to transform and unify your data, so it's ready to be used in Intercom.Work With Your Existing Warehouse: No need to migrate your data into Census and keep yet another system in sync. Census works on top of your existing warehouse, so you have all of your data in one place.With more product & customer data in Intercom, you can:Decrease average time to resolution: With product data at their fingertips, your agents can resolve customer chats faster without having to switch between multiple apps to get a complete picture of customer activity.Improve ticket routing: Use product data to identify your most valuable customers and route them to the top of the queue or escalate their issues.Build 360° Customer profiles: Bring product usage data into Intercom so your team knows how your customers are (or aren't) using your product.Better Personalization Campaigns: Use product data inside your email or in-app campaigns to create a usage digest or daily report.Better Segmentation of your users: With better product data in Intercom, you can create granular segments in order to message your customers based on exactly how they use your app.Getting started is easyVisit our website to start your free 14-day trialConnect your warehouse. We support Redshift, Bigquery, Snowflake, and PostgresAdd Intercom as a destination. Simply follow the secure OAuth process.Create a new sync and select the data you want to have in IntercomEnable the sync and pick a scheduleDone!Or if you want to see what Census can do for you, book a demo with us.",Sync your customer data from your data warehouse to Intercom,Built by Census,Trial for free,,https://getcensus.com/terms-conditions?utm_source=intercom&utm_medium=description&utm_campaign=intercom_marketplace,https://www.getcensus.com/privacy-policy?utm_source=intercom&utm_medium=description&utm_campaign=intercom_marketplace,https://www.intercom.com/app-store/?app_package_code=census-qapb&category=analytics
2022-01-08,08:18:44 PM,LiveSession,"https://static.intercomassets.com/developer-home/change-request-image-uploads/3614/original/1-1583592793.png?1583592793, https://static.intercomassets.com/developer-home/change-request-image-uploads/3618/original/image_%2814%29-1583592906.png?1583592906, https://static.intercomassets.com/developer-home/change-request-image-uploads/3619/original/2-1583592910.png?1583592910, https://static.intercomassets.com/developer-home/change-request-image-uploads/3620/original/3-1583592914.png?1583592914",https://static.intercomassets.com/developer-home/change-request-image-uploads/3613/original/image_%2813%29-1583592327.png?1583592327,,"Analytics, Screen capture","Integrate LiveSession with Intercom and see how the users interact with your website. The integration adds a link to a LiveSession recording to every new Intercom conversation. What’s more, you can also add custom properties, such as subscription plan or user ID, to get more context and insights into customer behavior. The LiveSession + Intercom integration is most helpful for:Tech support and help desk agents – LiveSession recordings add more context to Intercom conversations. This way, it’s easier to see what is the issue – and finding the solution is much faster, too. Developers – Thanks to LiveSession recordings, developers will find it easier to solve bugs reported via Intercom.UX Designers – The LiveSession + Intercom integration makes collaboration smoother. Help desk employees can easily share insights from the customers so the UX team will be able to come up with solutions. Start 14-days trial for free.For support visit our docs or email hello@livesession.io.",The fast way to understand users with session replays,Built by LiveSession,Trial for free,,https://livesession.io/terms-of-service/,https://livesession.io/privacy-policy/,https://www.intercom.com/app-store/?app_package_code=livesession&category=analytics
2022-01-08,08:18:45 PM,Nalia,"https://static.intercomassets.com/developer-home/change-request-image-uploads/4125/original/nalia-intercom-presentation1-1590325836.png?1590325836, https://static.intercomassets.com/developer-home/change-request-image-uploads/4126/original/nalia-intercom-presentation2-1590325840.png?1590325840",https://static.intercomassets.com/developer-home/change-request-image-uploads/4099/original/nalia-logo-intercom-1589978438.png?1589978438,,"Analytics, Data & Enrichment","With Nalia for Intercom, you won't miss out your churn risk customers. Nalia rates your users and gives you access to the relevant churn KPIs. Your customer success team can prioritize their action at the right time. Customer success teams use Nalia to: Prioritize their action with this churn scoreKnow at any time customer healthUnderstand hidden reasons of dissatisfaction",The Nalia Score alerts you on your risky customers,Built by Nalia,Some features free,,https://www.eiffo-analytics.com/Terms-Conditions.html,https://www.eiffo-analytics.com/Private-Policy.html,https://www.intercom.com/app-store/?app_package_code=eiffo&category=analytics
2022-01-08,08:18:46 PM,Prodsight,"https://static.intercomassets.com/developer-home/change-request-image-uploads/4308/original/1-1591878366.png?1591878366, https://static.intercomassets.com/developer-home/change-request-image-uploads/4309/original/2-1591878371.png?1591878371, https://static.intercomassets.com/developer-home/change-request-image-uploads/4310/original/3-1591878378.png?1591878378, https://static.intercomassets.com/developer-home/change-request-image-uploads/4311/original/4-1591878382.png?1591878382, https://static.intercomassets.com/developer-home/change-request-image-uploads/4312/original/5-1591878385.png?1591878385",https://static.intercomassets.com/developer-home/change-request-image-uploads/6120/original/square-symbol-green-512-1617720399.png?1617720399,,"Analytics, Surveys & Feedback","As your conversation volume grows, it becomes harder to see which issues and requests matter the most. Prodsight makes this easy by analysing your conversations and automatically identifying the most important topics you should be tracking, with intelligent stats such as sentiment, volume and trends. Key features:Intelligent automated tagging of new and historic conversationsGo beyond simple keyword tracking with AI-powered User Intent detectionTag conversations retrospectively - get instant Automated Sentiment Analysis for every messageAI-powered topic suggestions to help you avoid blindspotsWorks with 100+ languages including Spanish, German, French, RussianReal-time Dashboards and reportsAnalyze all your customer feedback including reviews, surveys and NPS.Prodsight is used by Support, Product, Success and Marketing teams at leading customer-centric brands such as Later, Zenoti and Storyblocks.To find out what user issues Prodsight will unearth for you check out our free trial here.",Intelligent auto-tagging and sentiment analysis in 100+ languages.,Built by Prodsight,Trial for free,,https://www.prodsight.com/terms-of-service/?utm_source=intercom&utm_medium=directory&utm_campaign=intercom_app_store,https://www.prodsight.com/privacy-policy/?utm_source=intercom&utm_medium=directory&utm_campaign=intercom_app_store,https://www.intercom.com/app-store/?app_package_code=prodsight-turn-intercom-conversations-into-insight&category=analytics
2022-01-08,08:18:47 PM,Analytics for Intercom,"https://static.intercomassets.com/developer-home/change-request-image-uploads/5238/original/Group_141-1606102088.png?1606102088, https://static.intercomassets.com/developer-home/change-request-image-uploads/5239/original/Group_140-1606102094.png?1606102094, https://static.intercomassets.com/developer-home/change-request-image-uploads/5240/original/Frame_141-1606102100.png?1606102100, https://static.intercomassets.com/developer-home/change-request-image-uploads/5241/original/Frame-1606102110.png?1606102110, https://static.intercomassets.com/developer-home/change-request-image-uploads/5242/original/Frame_%281%29-1606102115.png?1606102115",https://static.intercomassets.com/developer-home/change-request-image-uploads/3369/original/A4I_Logo_%283%29-1580268585.png?1580268585,,"Analytics, Data & Enrichment","Try it out for free no details needed.Analytics for Intercom by sown gives out of the box reports on your Intercom segments, attributes, tags, conversations and more. Answer these questions with one click.  How many new users are we getting?How many active users do we have?What's the geographic distribution of our users?Which segment of our customers retains the best?Which conversation tag is most common?Charts for the whole funnel, on all your Intercom data, with zero setup. Try it out for free no details needed.",Zero setup reporting for Intercom,Built by sown,Trial for free,,https://analyticsforintercom.com/terms,https://analyticsforintercom.com/privacy,https://www.intercom.com/app-store/?app_package_code=analytics-for-intercom-bcx7&category=analytics
2022-01-08,08:18:48 PM,ChurnTarget,https://static.intercomassets.com/developer-home/change-request-image-uploads/4227/original/output-onlinepngtools_%281%29-1591349661.png?1591349661,https://static.intercomassets.com/developer-home/change-request-image-uploads/3329/original/intercom_app_logo-1579764787.jpg?1579764787,,Analytics,"On average, a SaaS has a monthly churn rate of 3.2%. Every customer canceling is a missed opportunity to convert to a higher plan or too small lifetime value. That's why, at ChurnTarget, we believe that reducing the churn rate of your SaaS is of utmost importance. ChurnTarget analyzes your customers' data and computes a list of risky users that might churn. Using this list, you can focus your efforts on risky customers to effectively reduce your churn.The model we create to analyse your data is tailored around your business' specificities. You can also choose the number of people you want in the risky list, depending on your customer success team capacity.Spend fewer resources, focus your effort on customers that matter, and increase your revenue.Learn more about ChurnTarget, or get in touch with our team here.",Focus your efforts on risky customers to reduce your churn effectively,Built by Rosemarine SARL,Some features free,,https://churntarget.com/terms_of_service,https://churntarget.com/privacy_policy,https://www.intercom.com/app-store/?app_package_code=churntarget&category=analytics
