date,time,name,images,logo,rating,reviews_count,category,details,tagline,developer,similar,website,support_website,support_email,privacy_policy,terms_of_service,url
2022-01-08,09:23:57 PM,"Shuttle - Webforms, Signatures, Documents","https://pipedrive-marketplace-manager-live.s3.amazonaws.com/de2cb93c1e94ce86/screenshot/63fa0d68-2e55-4d43-b7c8-4509d8868c87/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/de2cb93c1e94ce86/screenshot/3d47a525-566e-4542-8758-158675678f48/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/de2cb93c1e94ce86/screenshot/6ae9e6e6-bc85-4cff-b557-2a5fad064469/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/de2cb93c1e94ce86/screenshot/8b86260a-88af-4340-9b39-890e4b9936c5/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/de2cb93c1e94ce86/screenshot/62056254-07eb-4e82-85db-b431c276675e/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/de2cb93c1e94ce86/icon/09a5ad57-fcce-4205-a7fb-c930b5f2c1af/original.png,0,,"Proposals & contracts, Web forms & surveys","DescriptionGive Pipedrive a boost by making it easier to sign up new customers using one central portal. You can also reduce your sales admin costs by 50%.Easy-to-build web forms to collect customer data from your website or through partner referralsManage incoming leads directly with your teamCut down on paperwork with e-signing for contractsAsk customers to upload any documents or forms you needCommunicate with leads using instant messaging and keep a record of all correspondenceFor regulated business, complete any KYC/AML requirements with automated checks from partners such as Equifax, CreditSafe and OnfidoGet our unbranded version to mirror your company’s “look and feel”Initiate the onboarding process immediately when a lead engages via your web form. Through Shuttle, you are notified, and all of the information you have collected in your initial form is submitted to your deal pipeline in Pipedrive.It’s fast and easy to get started. We even build the first web forms for you.We have exclusive offers for Pipedrive users. You can find out more by clicking below. Our offers include free web forms, discounts and priority support for Pipedrive users!Setup and installationYou'll need a Shuttle account to install this app. If you don't have one, go to https://app.shuttleon.com/sign-up/company. You will be redirected to a sign-up page for the Shuttle service. Our starter package is free, but you will need to provide your credit card details. After completing the registration,  click on “Install now” on Pipedrive's Marketplace page. Alternatively, you can install the app from our portal by going to “Shortcuts” -> “Integrations” -> “Pipedrive” and click on “Enable.” Make sure you have selected “OAuth” as access type, and the checkboxes labeled “Enable auto-upload of new applications” and “Always send application customers” are checked, then click on “Connect.”Once you have signed up for Shuttle, we will schedule a call to help you set up your initial webforms and the integration for Pipedrive.After installing the app, make sure to read our usage guide on the Pipedrive integration page in our portal.ResourcesWebsitePricingSupport websiteSupport emailTerms of ServicePrivacy PolicyDocumentation",Get more out of Pipedrive by connecting your webforms and landing pages to your pipeline and your onboarding process.,by Shuttle,"Paycove, Click2Contract, Simple Sign",http://shuttleon.com/pipedrive/,https://shuttleon.com/contact,mailto:emil@shuttleon.com,https://shuttleon.com/applicationprivacypolicy,https://shuttleon.com/eula,https://www.pipedrive.com/en/marketplace/app/shuttle-webforms-signatures-documents/de2cb93c1e94ce86
2022-01-08,09:24:00 PM,Text Request,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/92a0610adb90cd9c/screenshot/08229203-d1be-4426-a52e-6d8a3b112704/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/92a0610adb90cd9c/screenshot/6dc404ef-0c1e-47b7-b095-efa2cbeea31c/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/92a0610adb90cd9c/screenshot/968ce64c-adb8-4c5f-b7eb-7ab10799886e/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/92a0610adb90cd9c/icon/2ed6b5e3-3f0a-4409-af4f-e84a91b4b982/original.png,0,,"Bots & messaging, Phone solutions","DescriptionText Request is a business texting platform that works in step with your existing teams, tech and tactics to ignite customer engagement. We’ve crafted plug-and-play messaging solutions to your everyday communication problems, so you can cut through the noise and connect with customers. By integrating Text Request with your Pipedrive account, you’ll be able to:Text contacts directly from Pipedrive with click-to-text, using our Chrome extensionText from multiple phone numbers connected to your Text Request account (e.g., each sales rep can text from their own line)Sync messages from Text Request to Pipedrive (messages will show under a contact’s notes)Use our SMS Chat to bring in more leads from your websiteThis gives your sales team the #1 most effective channel for getting customers’ attention, text messaging, right in your Pipedrive account, so that you can close more deals without a sweat.Setup and installationConnect Text Request to PipedriveGo to the Integrations section of your dashboardLocate the Pipedrive integration box underneath the “Everyday Tools” sectionSelect “Set Up” within the Pipedrive boxSelect “Connect to Pipedrive” on the new page that appearsA new window will appear and ask you to log in to your Pipedrive account and grant  Text Request access to itSelect “Allow and Install,” and the integration will become activeChoose which Text Request phone lines (dashboards) to sync with PipedriveYou can choose all or a subset of dashboards to sync. To do that:Select “Settings” within the Pipedrive box in your Integrations menuSelect between syncing “selected dashboards” or syncing “all dashboards”If you've selected “sync selected dashboards,” check the dashboards that you prefer to be syncedYou can uncheck any dashboards that you no longer wish to have synced at any time by following these steps (without disconnecting the entire integration).ResourcesWebsiteSupport emailTerms of ServicePrivacy PolicyDocumentation",Text contacts directly from Pipedrive with the Text Request integration and sync message history.,by Text Request,"Pipechat, Kixie PowerCall and SMS, CloudTalk",https://www.textrequest.com/?utm_source=pipedrive&utm_medium=marketplace,,mailto:danny@textrequest.com,https://www.textrequest.com/privacy-policy?utm_source=pipedrive&utm_medium=marketplace,https://www.textrequest.com/terms-of-service?utm_source=pipedrive&utm_medium=marketplace,https://www.pipedrive.com/en/marketplace/app/text-request/92a0610adb90cd9c
2022-01-08,09:24:01 PM,SendPulse,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/610c125b068c12d2/screenshot/2b66097e-39a6-4f07-8df5-0937bfeef61d/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/610c125b068c12d2/screenshot/2016b5b9-589c-4976-abb1-47ec12254897/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/610c125b068c12d2/icon/f0c319a7-6ccd-4f5e-b527-257fe3d7198f/original.png,5,1,"Email marketing, Marketing automation","DescriptionSendPulse is a multichannel marketing platform using artificial intelligence. SendPulse enables users to communicate with their clients by email, SMS, web push, Viber and SMTP.SendPulse Al users regularly see 50% to 100%+ increases in engagement, including click-through-rates, page views, time on site and conversions.With the help of the SendPulse integration, you can:Export email addresses (as well as names, organizations and other information) to a SendPulse mailing listExport all new contacts automaticallySelect the data that should be exported (email, name, organizations, etc.)Create and send out email, SMS and web push campaignsSetup and installationJust click the green ""Install now"" button on the upper right corner and create a new account in SendPulse.If you already have a SendPulse account, clicking ""Install now"" will connect your existing account via Pipedrive marketplace.Select the list you want to synchronize with Pipedrive and that's it! The application will then export your contacts to SendPulse.ResourcesWebsitePricingSupport websiteSupport emailTerms of ServicePrivacy Policy",Connect SendPulse and Pipedrive to manage your contacts and make email marketing profitable.,by SendPulse Inc.,"Outfunnel, Outplay, Klenty",https://sendpulse.com/,https://sendpulse.com/support,mailto:support@sendpulse.com,https://sendpulse.com/legal/pp,https://sendpulse.com/legal/terms,https://www.pipedrive.com/en/marketplace/app/send-pulse/610c125b068c12d2
2022-01-08,09:24:05 PM,Automate.io,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/84023102663c38e7/screenshot/84f81d74-5cc2-4230-81c4-0c9ff3159e15/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/84023102663c38e7/screenshot/c8f58e4d-0a3c-42d0-9116-8f19334ee137/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/84023102663c38e7/screenshot/7e36c120-d9eb-4983-ad10-f3187e062233/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/84023102663c38e7/icon/e46eaa20-f6f5-4fd9-887f-fc40ce9f43ce/original.png,5,1,"Integration platforms, Marketing automation","DescriptionAutomate.io gives you the ability to integrate Pipedrive with 100+ apps and create workflow automations using a simple drag-n-drop interface, no coding required. Close deals quickly and stay super-organized by starting to automate routine tasks.Experience the true power of Pipedrive by integrating it with all your other apps like AWeber, Gmail, Slack, Todoist, Google Sheets, Facebook Lead Ads, Asana, Mailchimp, Trello, Typeform, Jotform, HubSpot CRM, Xero, Dropbox, Calendly, Unbounce, JIRA, Infusionsoft by Keap, Salesforce, Zendesk, PayPal, GetResponse, Zoho CRM, Shopify, WooCommerce, ActiveCampaign, Google Forms, Quickbooks Online, Wufoo, Twilio, Microsoft Teams, Intercom, Acuity Scheduling, Airtable, Basecamp 3 and many more.Here are a few popular and smart workflows you can create with Pipedrive:Automatically sync leads from any lead generation forms (e.g Facebook lead ads, gravity forms, Typeform)Connect your marketing apps, sync contacts and send automated emailsEnrich contact data automatically by integrating Pipedrive with lead enrichment tools (e.g. Clearbit, FullContact)Send instant emails from Gmail to new opportunitiesReceive instant alerts on Slack about a new deal, notify your team when a deal is closedBackup contacts or deal data to Google SheetsSync Pipedrive events to Google Calendar, Trello or AsanaSetup and installationLogin/Signup for Automate.ioConnect Pipedrive and other apps you want to integrateSetup Trigger, Action and map relevant fieldsEnable the bot and do a test runResourcesWebsitePricingSupport websiteSupport emailTerms of ServicePrivacy PolicyDocumentation","Connect Pipedrive with 100+ apps like Facebook Lead Ads, Google Sheets, Mailchimp and create workflow automations easily.",by Automate.io,"Outfunnel, Dedupely, ActiveDEMAND",https://automate.io/,https://docs.automate.io/,mailto:help@automate.io,https://automate.io/privacy-policy,https://automate.io/terms,https://www.pipedrive.com/en/marketplace/app/automate-io/84023102663c38e7#user-reviews
2022-01-08,09:24:07 PM,DocuSign on Pipedrive,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/ef9170b2ec1f114f/screenshot/e889f7fe-92bb-4942-ab87-c1bc44d43d50/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/ef9170b2ec1f114f/screenshot/dc597eb9-bbb6-48f7-822c-0de9877e8b64/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/ef9170b2ec1f114f/screenshot/3927a294-dd01-46f0-a15e-973224b05710/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/ef9170b2ec1f114f/screenshot/5b7ad612-ffc6-475c-8112-5183e1c79149/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/ef9170b2ec1f114f/icon/389012aa-952e-40ad-aa80-5d6eb0960dfc/original.png,2,11,Proposals & contracts,"DescriptionConnect your Pipedrive account with DocuSign to send documents instantly and securely.Closing a deal has never been easier and faster!
For more information and pricing, please visit: https://easycrm.me/membership-join/. How it works:First, click on a deal from your Pipedrive dashboard. From there, you can create an envelope and add a template or upload a new document to your DocuSign account. 
Your customers will then receive a link to the contract via email. Our app panel will show you your existing envelopes based on your deal's associated email address.Here are the available functions: 1 Automatic creation of envelopes in the name (and email) of the contact person2 Direct link to the pipedrive deal, including all of its related documents (f.i. the contract) 3  Pipedrive tasks creation whenever a document status changes and on behalf of the deal's owner 4 Document status shown in the app window (SENT, VIEW, COMPLETED)For any questions, reach out to us directly at support@easycrm.me.Setup and installationPlease visit: https://easycrm.me/membership-join/ Then, follow the instructions to install the integration:1: Connect your Pipedrive account2: Confirm the trial and connect DocuSignClick on a deal to view its envelopes. Make sure your deals have an email address associated with them.App ExtensionsApp panelsBasic app actionsResourcesWebsiteSupport emailTerms of ServicePrivacy Policy",Manage DocuSign envelopes for your deals with the DocuSign-Pipedrive integration.,by easyCRM,"Paycove, Click2Contract, Simple Sign",https://www.easycrm.me/membership-join/,,mailto:support@easycrm.me,https://easycrm.me/privacy-policy/,https://easycrm.me/terms-conditions/,https://www.pipedrive.com/en/marketplace/app/docu-sign-on-pipedrive/ef9170b2ec1f114f#user-reviews
2022-01-08,09:24:09 PM,StoryXpress,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/98fce8b30ea0abaf/screenshot/c06fbddb-5be4-4678-a16e-9d90e7d9b853/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/98fce8b30ea0abaf/screenshot/6c1516dc-6cd1-4085-9049-e455067bae9b/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/98fce8b30ea0abaf/screenshot/48a7fe8c-48b7-4103-b8d8-ddcd08f0385e/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/98fce8b30ea0abaf/screenshot/745aa147-3e3d-4263-9482-8fa3f2a57a2a/original.jpeg",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/98fce8b30ea0abaf/icon/fa598220-5a19-4af3-bd5f-572118fd9847/original.png,5,1,"Customer support, Lead generation","DescriptionCapture leads and engagement by adding forms to videos. Sales automation becomes a breeze.Capture leads through videosUse a StoryXpress default form or a Pipedrive form to capture leads and add them to your contacts.View user analytics in the app panelWith the advanced video analytics of StoryXpress, you can see and filter leads by their video activity.Send videos in emailsShare a video link along with an animated thumbnail in your campaign and automatically track users by their email addresses.Setup and installationWhat you’ll need StoryXpress account with Premium Integration plan activated.How to set up Pipedrive integration?Integrate StoryXpress with Pipedrive by clicking “Install now” on the Storyxpress page in Pipedrive’s MarketplaceAgree with the permissions in Pipedrive’s Oauth page. It will redirect you to the StoryXpress Oauth page. Use your account credentials to connect the app with your workspace.After integrating Pipedrive, go to the “Video” tab and add a CTA form to any video by clicking “Call to Actions”. Make sure the form type is Pipedrive.Visit the video in the new tab and fill out the form. Once submitted, a new lead will be added to your Pipedrive accountHead over to Pipedrive contacts and search for the recently added contact. Click on that contact, and you will see the StoryXpress app panel below.The app panel will show all the videos the user has watched by their email ID. It will also show how many forms have been filled out,  which browser was used and various details about the user.App ExtensionsApp panelsResourcesWebsitePricingSupport websiteSupport emailTerms of ServicePrivacy PolicyDocumentation",Use StoryXpress for lead generation and sales automation.,by StoryXpress,"Outplay, Klenty, Leadfeeder",https://storyxpress.co/,https://storyxpress.co/help,mailto:support@storyxpress.co,https://storyxpress.co/privacy-policy,https://storyxpress.co/terms-conditions,https://www.pipedrive.com/en/marketplace/app/story-xpress/98fce8b30ea0abaf
2022-01-08,09:24:10 PM,Microsoft Teams,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/23b45cfa6522e8d5/screenshot/1b7cfa89-4f27-48bf-8173-626a0416fbf1/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/23b45cfa6522e8d5/screenshot/b332600a-50e0-485d-b529-2a12c872eb6d/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/23b45cfa6522e8d5/screenshot/52b226dd-50a8-4daa-b110-512b75d2dd53/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/23b45cfa6522e8d5/screenshot/4ddad22d-5abe-4940-8c93-f841b5401d60/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/23b45cfa6522e8d5/icon/78eece19-119f-4856-b8de-78cce9bc11ed/original.png,4,7,"Bots & messaging, Video calls & solutions","DescriptionThis integration allows you to stay on top of your deals with real-time updates in Microsoft Teams. It also offers the ability to schedule and join video meetings directly from Pipedrive’s activity and meeting Scheduler views (the propose times feature).The Microsoft Teams bot sends updates on Pipedrive deals, people, organizations and activities to your colleagues in Microsoft Teams to provide visibility and context. Choose to receive updates on channels or personal messages.
Whether multiple people need to collaborate to close deals, or you simply want to keep everyone in the company informed, Pipedrive bot automatically handles it directly in Microsoft Teams.This bot allows you to:Choose which updates you want to receive Get updates in personal or team channels About Microsoft Teams
Microsoft Teams, a part of the Office 365 suite of applications, is one of the most efficient cloud-based team collaboration tools. The core features include business messaging, calling, video meetings, and file sharing.Setup and installationAdd Pipedrive bot from the Microsoft Teams AppSourceClick on ""Connect Pipedrive""Click on ""Allow and install""Copy and paste the code in the chat view in Microsoft TeamsNote that to install the app, you must use either a school/work Microsoft account.App ExtensionsWorkflow automationResourcesWebsiteSupport emailTerms of ServicePrivacy PolicyDocumentation","Get Pipedrive updates in Teams, and schedule and join video meetings from Pipedrive. Keep your team ready to close that next big deal.",by Pipedrive,"Pipechat, Google Meet, Dealbot for Slack",https://teams.microsoft.com/,,mailto:support@pipedrive.com,https://www.pipedrive.com/en/privacy,https://www.pipedrive.com/en/terms-of-service,https://www.pipedrive.com/en/marketplace/app/microsoft-teams/23b45cfa6522e8d5
2022-01-08,09:24:12 PM,Outplay,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/6d1d318eb8e17b9f/screenshot/d15b60f7-d0cd-45a5-9375-250b14cde0d0/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/6d1d318eb8e17b9f/screenshot/2ef477c4-1b65-4ec0-9808-70c67cb3e312/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/6d1d318eb8e17b9f/screenshot/76d4199d-03a8-4b26-a4a0-a92ca46077b4/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/6d1d318eb8e17b9f/screenshot/33e65e46-f522-498a-b24f-fb285cf6eddf/original.jpeg, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/6d1d318eb8e17b9f/screenshot/82b6fa60-affa-4a12-a6dc-fd1667c76312/original.jpeg",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/6d1d318eb8e17b9f/icon/0137d29c-84fd-4f45-a499-470b581d6d25/original.png,5,72,"Email marketing, Lead generation","DescriptionOutplay is the next-generation sales outreach platform optimized to help sales teams be efficient and book more meetings.Using Outplay, you can connect with  your prospects by emails, calls, voicemails, text/SMS, LinkedIn and much more. No other multi-touch outreach platform offers as many integration points. Our customers say: “Wonderful sales tool that doubled my productivity”“Great responsive team”“Great product and outstanding customer service”Free 14 day trial period, no credit card required - https://accounts.outplayhq.com/signupPipedrive users ❤️ Outplay, here's why - Auto import your prospects
Stop wasting time on exporting and importing. Now, you can auto-import prospects from Pipedrive to Outplay without clicking a single button.Automatically enroll prospects into Outplay sequences
With Outplay, you can auto-enroll prospects based on different conditions (lead score/signups/demo requests) directly into Outplay sequences.Auto-sync Outplay activities with Pipedrive
Sync all Outplay activity data like call notes, email opens, clicks, replies, website tracking, and more with your Pipedrive records so you can nurture your prospects intelligently.Our pricing stands at $70 per user, including every feature, onboarding and chat support.Free 14 day trial period, no credit card required.Setup and installationClick on the green “Install Now” button in the top right cornerYou will be asked to connect your Pipedrive account to Outplay – click “Allow & Install” and  you will be redirected to the Outplay Login page.Once you log in, Outplay will automatically connect with your Pipedrive accountOnce connected, you can use the powerful Outplay-Pipedrive integration features for free for up to 14 days and see amazing results come in.Check out the 5-minute Integration guide video to connect Pipedrive with Outplay: https://www.youtube.com/watch?v=PpKOsMSXGz0App ExtensionsApp panelsBasic app actionsResourcesWebsiteSupport emailTerms of ServicePrivacy PolicyDocumentation",Book more meetings with the Sales Outreach tool that Pipedrive users love!,by Outplay,"Klenty, Leadfeeder, Paperflite",https://outplayhq.com/,,mailto:support@outplayhq.com,https://outplayhq.com/privacy-policy,https://outplayhq.com/terms-of-service,https://www.pipedrive.com/en/marketplace/app/outplay/6d1d318eb8e17b9f
2022-01-08,09:24:15 PM,Enlyft Account Intelligence,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/9830df3b42bb7f9d/screenshot/dc18028e-b64d-45bb-a31e-0bfc679a8a46/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/9830df3b42bb7f9d/screenshot/914a9132-b8ec-4194-bf17-22bb4e68049f/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/9830df3b42bb7f9d/screenshot/acc458cf-f61b-45a6-ba04-9028186275ec/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/9830df3b42bb7f9d/icon/834d2b9f-0729-4218-a76d-a640d299332a/original.png,0,,"Lead generation, Other","DescriptionEnlyft enables B2B sales and marketing teams to discover the best-suited accounts among tens of millions of companies worldwide by targeting technology adoption and hundreds of business attributes. Our AI platform predicts where your  technology products are required and when customers are ready to buy. What's more, Enlyft gives your teams access to business-critical insights about each account in seconds. We do this by combining AI models that have been optimized for sales and marketing with proprietary data collection mechanisms to generate the richest, most reliable and up-to-date database of prospect data in the market. An easy-to-use website, plugin, LinkedIn contacts, Pipedrive integration and much more turn Enlyft into a flawless part of your daily workflow.The world's most productive teams rely on Enlyft's AI-driven account intelligence to prioritize and qualify their prospecting pipeline and win more business for a mere fraction of their budget.
Our Pipedrive integration enables you to:Integrate Enlyft's proprietary data into your pipelines, incl. technographics, firmographics, buying intent data, etc.Enrich deals and accounts with account intelligence data, automatically and in real-timeKeep your data clean and up-to-date with regular refreshesand moreNote: Our application is available only for existing customers. If you don't have an active Enlyft subscription, contact us to get started.Setup and installationWelcome to the Enlyft integration with Pipedrive! Note: Our application works only with valid Enlyft subscription. If you are not already an Enlyft customer, please contact us to get started.Get started:Click on the “Proceed to install button” on this page and confirm the installationYou will be forwarded to your account on Enlyft.com. If you do not have an account, please contact us to get started.Once you login to your Enlyft account, the installation will be automatically completedAfter the installation is completed, you can configure your installation optionsInstallation options:Select which Pipedrive pipelines you want to enrichDecide whether to push redeemed account lists from Enlyft to Pipedrive: Enlyft will automatically push all purchased and enriched target accounts to Pipedrive. If you need to push only individual purchased lists or created segments, please contact us.Decide whether to enrich all existing deals and organizations in bulkManage Enlyft data points:
You can see which technologies an organization is using by creating and managing Highlighted Attribute groups. Visit your Enlyft account to set these up.App ExtensionsApp panelsResourcesWebsiteSupport websiteSupport emailTerms of ServicePrivacy Policy",Enlyft helps B2B sales and marketing teams find and engage companies through AI and deep account intelligence data.,by Enlyft,"Outplay, Klenty, Leadfeeder",https://enlyft.com/,https://enlyft.com/contact/,mailto:support@enlyft.com,https://enlyft.com/privacy-policy/,https://enlyft.com/terms-of-service/,https://www.pipedrive.com/en/marketplace/app/enlyft-account-intelligence/9830df3b42bb7f9d
2022-01-08,09:24:17 PM,Click2Contract,"https://pipedrive-marketplace-manager-live.s3.amazonaws.com/26e70d8f6764904c/screenshot/d2fa07f9-da7a-4581-bb45-bd7f9ea166b6/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/26e70d8f6764904c/screenshot/dfe94aeb-a72f-4c99-a1a0-e9cf6762af72/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/26e70d8f6764904c/screenshot/13988fe9-e647-4576-aece-71ca4e000c03/original.png, https://pipedrive-marketplace-manager-live.s3.amazonaws.com/26e70d8f6764904c/screenshot/bc24554d-927f-4fff-9c41-294cb1aab4fa/original.png",https://pipedrive-marketplace-manager-live.s3.amazonaws.com/26e70d8f6764904c/icon/b42f4e35-913e-4137-a65b-9d035e3edc89/original.png,5,7,Proposals & contracts,"DescriptionClick2Contract enables you to adapt and scale the best deal closing practices of modern growth companies. The app provides you with the simplest possible process from Pipedrive via proposal to eSigned and archived contracts, allowing your sales team to be kept up-to-date with the progress of proposals. All follow-up and reporting processes are integrated with Pipedrive's standard features and both sales reps, sales lead, customer success and legal get their needs satisfied. Key features:The processExport to a new proposal customer details, products and custom data fields from a dealSelect which content should be editable by a salesperson to optimize the processAutomate actions followed by eSigning: set deals' status as ""won,"" move them between pipelines or upload PDF contracts to dealsFollow up and reportingGet automatic notifications upon openings and proposal dates via the App panelChange stages automatically when a proposal is sent, opened or accepted (eSigned) Use automated stage and status changes to build performance reporting in Pipedrive InsightsLegalEasy-to-use eSigning that works on all devicesAutomatically archive all accepted proposals/contracts or upload them to Pipedrive as PDFCustomer experienceAll proposals and contracts are visual and responsiveSetup and installationClick ""Install Now""Accept permissions by clicking ""Allow and Install""Login to Click2Contract with existing user accountStart using If you don't have a Click2Contract user account yet, please register at https://secure.click2contract.com/registerApp ExtensionsApp panelsEmbedded app actionsResourcesWebsiteSupport websiteSupport emailTerms of ServicePrivacy Policy","Adapt and scale the best deal closing practices. Simple process, visual proposals, eSignatures and follow-up in one solution.",by Click2Contract,"Paycove, Simple Sign, PandaDoc Proposals & eSignatures",https://www.click2contract.com/en/,https://www.click2contract.com/en/support-center/,mailto:support@click2contract.com,https://www.click2contract.com/en/privacy-policy/,https://www.click2contract.com/en/terms/,https://www.pipedrive.com/en/marketplace/app/click-2-contract/26e70d8f6764904c
