date,time,name,images,logo,details,sandboxed,priceline,developer,hosted_at,works_with,examples,developer_website,privacy_policy,terms_of_service,url
2022-01-09,11:26:11 AM,Steward,"https://galleryapi.tableau.com/productfiles/39/27/Tamr_Steward_Shot1.gif, https://galleryapi.tableau.com/productfiles/39/27/Tamr_Steward_Shot1.gif, https://galleryapi.tableau.com/productfiles/39/27/Tamr_Steward_Shot2.png, https://galleryapi.tableau.com/productfiles/39/27/Tamr_Steward_Shot3.png",https://galleryapi.tableau.com/productfiles/39/Tamr_Steward_Icon.png,"Tamr Steward helps admins and developers spend less time fixing end-user issues by understanding and summarizing the context behind user feedback, all within a central app. Automated insights help identify the root cause of issues, allowing you to prioritize corrections or introduce governance upstream. And spend more time producing great analytics.

Install, invite your teammates, and get started for free in minutes
Give users a Google Docs-like experience: select a mark and leave a comment or even suggest an edit directly from a dashboard
Augment your existing workflow: Integrations for email and Slack allow you to route the feedback where you’ll see it. Javascript SDK plug-in enables Steward to also be used in Tableau Embedded Analytics
Close the loop: triage, track, and resolve issues within a single, governed workflow
Analyze and improve: metrics provide insight into how much time is being spent resolving issues and the root cause of issues, whether it’s a data source, dashboard, or individual record",,License Required,Tamr,https://stewardapp.io/tableau,Tableau 2018.2 and later,,https://www.tamr.com/steward-beta/,https://www.tamr.com/privacy-2/,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/39?version=2021.1
2022-01-09,11:26:12 AM,Dynamic Date Range Filter,"https://galleryapi.tableau.com/productfiles/33/21/Biztory_DateRange_Shot1.png, https://galleryapi.tableau.com/productfiles/33/21/Biztory_DateRange_Shot1.png, https://galleryapi.tableau.com/productfiles/33/21/Biztory_DateRange_Shot2.png",https://galleryapi.tableau.com/productfiles/33/Biztory_DateRange_Icon.png,Set a date range filter to a default range when launching a dashboard. The date range specified can be a specific from and to date or a relative from and to date (e.g. first day of last quarter or yesterday). The syntax for specifying the default date range is based on moment.js expressions – a web library used to set and display dates and times in JavaScript. All settings can be configured through the extension configuration screen.,,Free,Biztory,https://tableau-extensions-cdn.biztory.com/GenericExtensions/DynamicDateRangeFilter/DynamicDateRangeFilter.html,Tableau 2018.2 and laterTableau Public (2020.1 and later),,https://www.biztory.com/,https://galleryapi.tableau.com/productfiles/33/Biztory_PrivacyPolicy.pdf,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/33?version=2021.1
2022-01-09,11:26:13 AM,ProcessMining,"https://galleryapi.tableau.com/productfiles/166/166/AppsforTableau_ProcessMining_Shot1.png, https://galleryapi.tableau.com/productfiles/166/166/AppsforTableau_ProcessMining_Shot1.png, https://galleryapi.tableau.com/productfiles/166/166/AppsforTableau_ProcessMining_Shot2.png, https://galleryapi.tableau.com/productfiles/166/166/AppsforTableau_ProcessMining_Shot3.png",https://galleryapi.tableau.com/productfiles/166/AppsforTableau_ProcessMining_Icon.png,"This ProcessMining extension for Tableau helps see how the process actually goes, instead of assuming it. ProcessMining helps you to audit, analyze and improve your processes by answering both compliance-related and performance-related questions. Get instant insight in all sub processes, outliers, deviations, process bottlenecks and more. Use the interactivity of Tableau to enable users to filter and zoom in on specific cases, periods, process steps (nodes) or connections (Links) of your process to analyze, optimize or adjust your processes.
Gain insight in your business processes as they actually are, quick, user-friendly and factbased!
ProcessMining in your familiar Tableau environment
ProcessMining can be used for many business processes in your organization. Common processes for which ProcessMining can be used are purchase-to-pay and order-to-cash. When having fact-based, objective insights in these processes, it is easy to detect the bottlenecks in these processes and improve the process. This reduces through-put time and costs and therefore optimizes your procurement.
ProcessMining can also be used to gain insights and improve your customer service processes, HR processes, logistics processes, mortgage processes, ICT requests, and many more!
By detecting bottlenecks in your processes and optimize your process, you can improve your customer experience and deliver the most valuable customer journey to your customers. The big advantage? You don’t have to leave your Tableau environment!
ProcessMining in your organization
Your process map will show you objectively and automatically what the exact followed process steps were and wherein the process the biggest delays occur. This insight makes it easy to improve the process and reduce waste and costs. As you have continuous insights in your business processes you can continuously improve the processes. A root-cause analysis on your process can be easily performed. You can also compare your process map with your KPIs and see why they are, or aren’t met.
Get started!
Learn more about the ProcessMining extension here.
Learn how to quickly set it up with our Product Guide.
Disclaimer
The free version of this extension is limited to 1 ProcessMining extension to your dashboard. To experience the fully functional extension, request your free trial here: https://appsfortableau.infotopics.com/request-free-trial/
Stay updated on our latest features and news!
Contact: support@appsfortableau.com 
https://appsfortableau.infotopics.com/
LinkedIn – Twitter – Facebook - Youtube",,Free,Infotopics | Apps for Tableau,https://extensions.tableauusercontent.com/sandbox/process-mining/index.html,Tableau 2019.4 and laterTableau Public (2020.1 and later),,https://appsfortableau.com/,,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/166?version=2021.1
2022-01-09,11:26:24 AM,Automated Narrative Insights,"https://galleryapi.tableau.com/productfiles/280/273/vPhrase_Phrazor_Shot1.png, https://galleryapi.tableau.com/productfiles/280/273/vPhrase_Phrazor_Shot1.png, https://galleryapi.tableau.com/productfiles/280/273/vPhrase_Phrazor_Shot2.png",https://galleryapi.tableau.com/productfiles/280/vPhrase_Phrazor_Icon.png,"Language extension/plugin provides one of the best methods to understand data better by explaining data in words and assisting dashboard visualizations like charts with automated intelligent, concise narratives. Business users and analysts can analyze, explore data independently through automated, bulleted narratives. Drill down into the data through multiple filters, make queries through ‘Ask Phrazor’ & receive real-time replies. Fluid, non-rigid dashboards create data stories, incorporating all required KPIs, instantly, without the need for data expertise. Automated insights uncover deep underlying data trends,  identify data patterns and establish data inter-relationship for holistic analysis and story creation on dashboard. No insights are missed, and all data points are presented in meaningful, actionable insights for easy and optimal analysis and decision-making. Language extension/plugin also facilitates data storytelling, making dashboards more engaging through summarized descriptions of key data points.",,License Required,vPhrase,https://router.vphrase.com/tableausync/index.html?userKey=0a57c5fa-2003-4a88-8424-b24e97467d6a,Tableau 2018.2 and later,,https://www.vphrase.com/,https://phrazor.ai/privacy-policy,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/280?version=2021.1
2022-01-09,11:26:25 AM,Button Filter,https://galleryapi.tableau.com/productfiles/265/265/Biztory_ButtonFilter_Shot1.png,https://galleryapi.tableau.com/productfiles/265/Biztory_ButtonFilter_Icon.png,Replace any single or multiple value quick filter by a series of clickable buttons.  The filter behaviour (single / multiple value) as well as the look and feel and the grouping of the buttons (individual buttons or a button bar) be configured through the extension configuration screen. The look and feel is specified using standard Bootstrap 4 syntax – a web styling (css) library.,,Free,Biztory,https://extensions.tableauusercontent.com/sandbox/button-filter/ButtonFilter.html,Tableau 2019.4 and laterAccess a version compatible with 2019.4 and laterTableau Public (2020.1 and later),,https://www.biztory.com/,,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/265?version=2021.1
2022-01-09,11:26:36 AM,WriteBackExtreme,"https://galleryapi.tableau.com/productfiles/205/201/Infotopics_WriteBackExtreme_Shot1.gif, https://galleryapi.tableau.com/productfiles/205/201/Infotopics_WriteBackExtreme_Shot1.gif, https://galleryapi.tableau.com/productfiles/205/201/Infotopics_WriteBackExtreme_Shot2.gif, https://galleryapi.tableau.com/productfiles/205/201/Infotopics_WriteBackExtreme_Shot3.gif",https://galleryapi.tableau.com/productfiles/205/Infotopics_WriteBackExtreme_Icon.png,"Tableau helps people see and understand data. Like most analytics tools, Tableau is based on read-only technology. Sometimes however, you want to have the ability to add, delete and edit new or existing data behind a Tableau visualization and instantly see how those changes are reflected in the Viz. The WriteBackExtreme extension for these challenges and many other use cases. All governed and secured within Tableau: You’ll love it!
STAY IN THE FLOW | STAY IN TABLEAU | USE YOUR WRITEBACK SCENARIO
WriteBackExtreme has three basic modules:

Data Helper -> The Data Helper allows you to create, edit and delete records from your custom table, without changing existing data. This module has a lot of practical use cases. 
Add Data -> When you want to add a forecast & budgeting workflow or play a What-If scenario, the WriteBackExtreme extension allows you to add or change data that is connected to the visualizations present in your dashboard. You can see the changes and experience the impact and the data is safely stored in your database!
Collaboration -> The Collaboration template is a part of the Add Data module of WriteBackExtreme. It allows you to create annotations and comments on marks in your visualizations from within your dashboard. This improves the collaboration in dashboards in a highly efficient way. Keep track of your expert annotations and conversations on your most valuable assets.
Data Correction -> Change and correct the existing data in your database, directly from your dashboard using individual updates or bulk edits. Yout dashboard users can perform data corrections directly from the dashboards where they detect the inconsistencies. With the full audit trails of the extension, your changes to the data are secure and governed!

Management Console
The WriteBackExtreme extension offers a highly configurable and governance-induced management console. The control room of the Extension is Password protected and allows authorized access to different roles of users.
Get started with WriteBackExtreme in just a few clicks! We have set up an online demo environment for you to explore the power of WriteBackExtreme.
Download the demo workbook with examples and instructions
Demo username: writeback
Demo password: demodemo
Get started!
Learn more about the WriteBackExtreme extension here.
Learn how to quickly set it up with our Product Guide.
Disclaimer
The free version of this extension is limited to 1 WriteBackExtreme extension to your dashboard. To experience the fully functional extension, request your free trial here: https://appsfortableau.infotopics.com/request-free-trial/
This free version is for non-commercial use only and is connected to an online environment hosted by Infotopics | Apps for Tableau. Be sure to not use any privacy sensitive data with the free version. The online environment will be periodically reset. Contact us for more information or a PoC on your data via https://appsfortableau.com/writebackextreme/
Stay updated on our latest features and news!
Contact: support@appsfortableau.com
https://appsfortableau.infotopics.com
LinkedIn – Twitter – Facebook - Youtube",,License Required,Infotopics | Apps for Tableau,https://gallery.demo.writebackextreme.com/extension/,Tableau 2018.2 and later,,https://appsfortableau.com/,https://galleryapi.tableau.com/productfiles/205/AppsforTableau_PrivacyPolicy.pdf,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/205?version=2021.1
2022-01-09,11:26:37 AM,Gap Analysis,"https://galleryapi.tableau.com/productfiles/233/233/DataMa_GapAnalysis_Shot1.gif, https://galleryapi.tableau.com/productfiles/233/233/DataMa_GapAnalysis_Shot1.gif, https://galleryapi.tableau.com/productfiles/233/233/DataMa_GapAnalysis_Shot2.png, https://galleryapi.tableau.com/productfiles/233/233/DataMa_GapAnalysis_Shot3.png",https://galleryapi.tableau.com/productfiles/233/DataMa_GapAnalysis_Icon.png,"Gap analysis by DataMa helps you do the job of an advanced data analyst faster, in Tableau.
It's particularly helpful for marketing analysis, such has bridge/ waterfall/ root cause analysis.
Using this extension you will have access to:

Waterfall analysis using DataMa Compare
Compare any segments between one another, such as one Period vs. another, One business unit vs. another, Forecast vs. budget etc
Breakdown the gap of a KPI (Revenue, Margin, Conversion rate) by sub-drivers and visualize in a interactive Waterfall
Identify most interesting dimension to explain each sub-driver, including mix effect calculations etc
Get the 3 bullet points executive summary of gap analysis


Significance analysis using DataMa Impact
Perform advanced statistical tests (Frequentist, Bayesian etc) for assessing confidence level of observed gaps


Driver analysis using DataMa Pivot
Rank dimensions by order of importance to understand KPI drivers
Generate decision tree to predict your KPI based and generate associated audience
This demo extension is limited in duration, but you can get a full working version by contacting DataMa here",,License Required,DataMa,https://tableau.demo.datama.io/,Tableau 2018.2 and later,,https://datama-solutions.github.io/docs/#/general/admin/create_use_case/extensions/tableaudemo/tableaudemo,https://datama-solutions.github.io/docs/#/Privacy_Policy,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/233?version=2021.1
2022-01-09,11:26:38 AM,PictureThis,"https://galleryapi.tableau.com/productfiles/32/20/AppsforTableau_PictureThis_Shot1.png, https://galleryapi.tableau.com/productfiles/32/20/AppsforTableau_PictureThis_Shot1.png, https://galleryapi.tableau.com/productfiles/32/20/AppsforTableau_PictureThis_Shot2.png, https://galleryapi.tableau.com/productfiles/32/20/AppsforTableau_PictureThis_Shot3.png",https://galleryapi.tableau.com/productfiles/32/AppsforTableau_PictureThis_Icon.png,"A picture is worth a thousand words, why not use more images in your dashboard? Have you ever tried to use product or colleague images instead of names as a filter in your Tableau Dashboards? Tableau offers url actions, background images and shapes to use pictures in your dashboard. It requires a lot of work to get your images all prepped up to be used in your dashboards the standard way and still it remains a static or low res exercise that thickens up the size of your workbook.
The “PictureThis” Tableau extension helps you create dynamic image tables that can be used as a filter in your dashboard, all within your familiar Tableau environment: Governed and Secured!
Use Image url’s from your dataset that automatically create a responsive image table. The images will act as a filter on another target sheet in your dashboard. Images are not stored in your dashboard, they will dynamically be lined up in an image table based on your data and can be used as a filter! The extension supports a table layout and cards layout and advanced layout options.
Get started!
Learn more about the PictureThis extension here.
Learn how to quickly set it up with our Product Guide.
Disclaimer
The free version of this extension is limited to 1 PictureThis extension to your dashboard. To experience the fully functional extension, request your free trial here: https://appsfortableau.infotopics.com/request-free-trial/
Stay updated on our latest features and news!
Contact: support@appsfortableau.com 
https://appsfortableau.infotopics.com/
LinkedIn – Twitter – Facebook - Youtube",,License Required,Infotopics | Apps for Tableau,https://extensions.appsfortableau.com/picture-this-free/,Tableau 2018.2 and later,,https://www.appsfortableau.com/,https://galleryapi.tableau.com/productfiles/32/AppsforTableau_PrivacyPolicy.pdf,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/32?version=2021.1
2022-01-09,11:26:39 AM,Write-Back Free,"https://galleryapi.tableau.com/productfiles/14/2/XpandIT_Writeback_Shot1.png, https://galleryapi.tableau.com/productfiles/14/2/XpandIT_Writeback_Shot1.png, https://galleryapi.tableau.com/productfiles/14/2/XpandIT_Writeback_Shot2.png, https://galleryapi.tableau.com/productfiles/14/2/XpandIT_Writeback_Shot3.png",https://galleryapi.tableau.com/productfiles/14/XpandIT_Writeback_Icon.png,"The Write-Back Free extension allows you to select data from your Tableau sheets, edit or add new information to it and persist it on a Google Sheet. This sheet can then be used as a data source and blended with original data allowing to close the loop and display whatever data was persisted. The extension can be used across different use cases such as: Categorizing data on the fly, similar to group functionality but the categorization gets stored; Add comments across the dataset; Even for budgeting or specifying goals, you just need to select the base fields defining the level at which they will be defined, then you just have to create the target fields filling the values, either directly or with a formula, and on the date fields you can edit the values to place it in the future. If you are looking to write data on databases and want the data only on your infrastructure check the commercial version of Write-Back",,Free,Xpand IT,https://xpandit.github.io/tableau_write-back_extension/html,Tableau 2018.2 and later,,https://www.writeback4t.com/?utm_source=tableau_gallery&utm_medium=link&utm_campaign=tableau_gallery,https://www.xpand-it.com/privacy-policy/,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/14?version=2021.1
2022-01-09,11:26:40 AM,Let's Annotate,"https://galleryapi.tableau.com/productfiles/302/Starschema_LetsAnnotate_Shot1.gif, https://galleryapi.tableau.com/productfiles/302/Starschema_LetsAnnotate_Shot1.gif, https://galleryapi.tableau.com/productfiles/302/Starschema_LetsAnnotate_Shot2.png, https://galleryapi.tableau.com/productfiles/302/Starschema_LetsAnnotate_Shot3.png",https://galleryapi.tableau.com/productfiles/302/Starschema_LetsAnnotate_Icon.png,"Let’s Annotate! will layer Susie Lu's React Annotation library on top of your Tableau Desktop or Server App. We have built an intuitive UI to enable dashboard authors to leverage the many different types of custom annotations that are possible via the React Annotation library. Gone are the days of switching between design/presentation tools and Tableau to provide your users delightful annotations. Start by adding an annotation to the extension zone and then customize, move, hide and/or delete your annotation as need. Layer one or many instances of this extension over your dashboard to provide your users with the critical context and information they need to better understand your visualization. This extension also works well with the show/hide container functionality in Tableau. See more information on this extension from our #TC19 Presentation and also details on how to use the extension (or to submit bugs/ideas) on our GitHub Page.
Credits to contributors:

Chris DeMartini
Susie Lu (Creator of React Annotation)
Tamas Foldi
Abraham Szilagyi",,Free,Starschema,https://extensions.tableauusercontent.com/sandbox/lets-annotate/index.html,Tableau 2019.4 and laterTableau Public (2020.1 and later),https://public.tableau.com/app/profile/vizde7382/viz/LetsAnnotateExample-D1MensGolf/NCAAD1MensChampionship,https://starschema.com/,,https://galleryapi.tableau.com/productfiles/Tableau%20Accelerator%20ELA.pdf,https://extensiongallery.tableau.com/extensions/302?version=2021.1
