date,time,name,images,logo,category,details,rating_count,rating,tagline,priceline,developer,timeline,info,version,contact,website,url
2022-01-09,09:44:59 AM,Mapsly,https://cdn.statically.io/img/mapsly.com/f=auto/wp-content/uploads/2021/09/Collage-alternate-button.png,https://348570.apps.zdusercontent.com/348570/assets/1632130030-3b4839ea70b15bc511fc888877013a0b/logo.png?w=256&q=75,sell,"VISUALIZATION & ANALYSIS

View and (mass-)edit records from any Zendesk Sell object on the map, including custom fields, with real-time sync to Sell
Split your data into map layers with custom markers using visual formula builder
Search CRM records near a location and sort/filter them by distance
Customize map markers, pick fields for their labels and pop-ups, and switch between layer groups to instantly re-colorize your records based on different criteria
Create CRM records in any Zendesk Sell object from the map with pre-filled address and coordinates
Auto-correct errors in addresses and fill in zip and counties; import their coordinates back to CRM
Heatmaps
Import KML/KMZ overlays

ROUTING (demo video)

Plan optimized daily routes for sales and services teams, or trucks based on live/historic traffic (more)
Configure check-in, check-out or any other custom processes with buttons and custom forms (more)
Save check-in, check-out or custom events and data collected with forms to your Zendesk Sell in real time
View users’ current location and history of movements (more)
Plan regular visits with desired regularity and duration, for individual sales reps or entire teams (more)
Navigate to locations using your favorite app and open CRM records in the Zendesk Sell mobile app in one click

TERRITORIES

Draw territories or assemble them out of postal codes, counties, census tracts, etc. using the geo-library (more)
Auto-assign records to territories and sales reps based on custom criteria (more)
Calculate aggregate metrics per-territory out of your CRM data
View demographic data (US only)
Embed live maps with territories into dashboards, portals and websites (more)
Automatically create/update territories for individual CRM records

EMBED LIVE INTERACTIVE MAPS

Share maps with live data and desired Mapsly features by link and embed them into websites, portals or dashboards, or send by email (learn more, or view demos)
Add personalized maps with unique dataset per customer to your customer portal (more)
Add custom buttons, forms and let users execute processes/automation from embedded maps (more)

PROSPECTING

Search local businesses by keywords and add them as records of any Zendesk Sell object (more)
Adjust field mapping, use custom fields, and add fields with fixed values

NO-CODE/LOW-CODE AUTOMATION

Execute custom actions by a button, by schedule or entirely automatically, without writing code (more)
Create/update/delete records and territories, send email and SMS, call external APIs, and more
Search records by custom criteria that may include driving distance or time, and execute actions with them (more)
Create dynamic forms that show/hide fields and call external APIs as user fills in the form
Use user’s current location and calculate driving distance/time between any locations
Implement cross-system analysis and automation by connecting spreadsheets and other data sources to Mapsly

Please note that while the Zendesk Sell connector to Mapsly is free, you will need a paid subscription to use Mapsly. Try Mapsly for free for two weeks (no credit card required). Mapsly subscription starts at $25/user/month (pricing page with a price calculator).
We offer 24/7 chat support, so don’t hesitate to ask us anything anytime. And book a live demo to discuss your use scenario and learn how to make the most out of Mapsly with Zendesk Sell.
Implementation services and staff training are included in your Mapsly subscription.
IMPORTANT! To sync Visits and faster sync removed records Mapsly leverages Zendesk Sell's Firehose API that can be enabled for Mapsly customers by request — please contact your Sell's account executive after starting your Mapsly trial. If you do not know your account executive, please contact support@zendesk.com. While you are waiting for the upgrade, you can still use Mapsly without the calendar-based routing and with delayed sync of removed records. Don’t hesitate to contact Mapsly support with any questions about enabling Firehose API.",1,5,"Interactive map for geo-analysis, routing, territories and automation",Free,Mapsly LLC,"Interactive map for geo-analysis, routing, territories and automation",Sales CRM,1.0,mailto:help@mapsly.com,https://mapsly.com/,https://www.zendesk.com/apps/sell/348570/mapsly/
2022-01-09,09:45:01 AM,masvoz Cloud Contact Center,https://www.masvoz.net/wp-content/uploads/2019/07/zendesk-1-OK-corregido.jpg,https://208677.apps.zdusercontent.com/208677/assets/1590396800-2b8103814ab6191b68db9157aa70ac07/logo.png?w=256&q=75,support,"Available only to agents with “Talk - Partner Edition” seats (see http://zendesk.com/talk/pricing)
Cloud Contact Center integrated with Zendesk


Easily integrate your phone system directly from the Zendesk control panel. With masvoz integrated into Zendesk, you can make and receive your calls from Zendesk, automate the creation of tickets and the registration of call information.



Save time, increase the productivity of agents and reduce human error thanks to process automation. By keeping in mind the customer information at all times, allows personalized attention according to their needs.
Access to all call information including agent information, phone number, date / time, recording, custom labels; allowing the report creation in Zendesk.
Customize the call flow in your masvoz’s agent module, thanks to the functionalities of our Cloud Call Center (call routing, voice recognition, selection menu, etc.) and integrate them in your daily operations.


Please note that a valid masvoz service subscription is required to use the service.
ACTIVATE NOW

We are the #1 partner in cloud communications for companies

We have more than 17 years adapting our Cloud Contact Center solution to the needs of each customer, putting at your disposal all advantages of Cloud Technology: payment only for use, flexibility, availability, security and quality.
Why masvoz?


We are leaders in cloud telephony for companies.
We are the only ones to adapt our communications services to your company.
We have been growing for more than 17 years.
We have more 1,500 customers from all sectors.
We manage more than 500,000 calls a day.
We put at your disposal all the advantages of Smart Technology: flexibility, availability, security, quality and payment only for use.
Obtaining statistics and call detail.
Know at all times the status of your Call Center and your agents, thanks to real-time supervision.


We boost your communications, we help you reach your customers.",,,Make and receive calls from Zendesk and centralize all the information,Free,masvoz,Make and receive calls from Zendesk and centralize all the information,Ticketing System,1.3,mailto:crm@masvoz.es,https://www.masvoz.es/,https://www.zendesk.com/apps/support/208677/masvoz-cloud-contact-center/
2022-01-09,09:45:02 AM,Article Comments Manager,,https://283749.apps.zdusercontent.com/283749/assets/1622796354-27814baa7639b7c2c57dd217feb68749/logo.png?w=256&q=75,support,"When adding articles to your Help Center you can allow readers to add comments to these articles. Quite often these are useful remarks or extra questions which you can escalate to tickets via this app.
If those comments are spam, junk or outside the scope of the article?
Ticket Comments Manager
This app shows you an overview of all comments across tickets in your Help Center.
 You can quickly view a comment, escalate to Support or delete an obstrusive comment with a single click.
You can filter and sort comments by author, language or date range.
Notice

Only Agents with the correct permissions in the Help Center can delete comments.
Agents will also only be able to view comments on articles they can access on the Help Center.

Powered by Premium Plus.
The app was developed by Premium Plus. We’re an award winning Zendesk Master Implementation Partner with over 500 active and happy customers. We’re here to help if you need guidance on how to get the most out of Zendesk. Visit premiumplus.io for more information.
Need a custom app to for your Zendesk instance to meet a specific need? Sure thing! We can build one seamlessly fitting your wishes and requirements. Need inspiration? Visit the apps section on https://premiumplus.app.",4,5,"Get an overview of Help Center comments, send them to Support or delete them.","Free 3-day trial, then $1.99 per agent, per month",,"Get an overview of Help Center comments, send them to Support or delete them.",Ticketing System,2021.6.2,mailto:apps@premiumplus.io,https://premiumplus.app/,https://www.zendesk.com/apps/support/283749/article-comments-manager/
2022-01-09,09:45:03 AM,REVIEWS.io App,,https://132606.apps.zdusercontent.com/132606/assets/1636027869-731440c00703fade310e728a96329368/logo.png?w=256&q=75,support,"We believe word-of-mouth is great for business. So we built a product that helps businesses like yours monitor and grow their online reputation through the power of review collection and management. 
Review collection needn't be costly or difficult to manage, which is why REVIEWS.io created the most feature-rich and cost effective Google-licensed review platform on the market. 
We make it simple for your customers to review your business all across the web, while in turn giving you all the benefits of review collection including Google Stars and Seller Ratings, improved customer trust, more website traffic and more sales. 
Reply to your company & product reviews through Zendesk, you can reply publicly with emails, private only or forward a message and the original review to others. >Sign up for a free trial 
## Features 

Receive and monitor tickets for company, product & 3rd party reviews in Zendesk. 
Reply to company & product reviews reviews publicly, privately or forward them to team members without leaving Zendesk. 
Send quick review invitations to clients using customised invitation templates. 
Utilise Zendesk notification settings in your REVIEWS.io account to control which tickets are created in Zendesk. For example: Negative Reviews only, Product Reviews & 3rd Party reviews only etc. 

Find out more information about setting up Zendesk at REVIEWS.io Zendesk Support",1,5,"Send invites, view and reply to company, product & 3rd party reviews in Zendesk.",Free,REVIEWS.io,"Send invites, view and reply to company, product & 3rd party reviews in Zendesk.",Ticketing System,1.3.2,mailto:support@reviews.io,https://www.reviews.io/,https://www.zendesk.com/apps/support/132606/reviewsio-app/
2022-01-09,09:45:04 AM,Falcon.io,,https://6231.apps.zdusercontent.com/6231/assets/1478544587-6955b0a4c67def35d9a970ddf6bc469c/logo.png?w=256&q=75,support,"Falcon.io provides a SaaS platform for social media marketing and customer experience management. The platform features tools for social media listening, engagement, publishing, measuring and customer data management. Medium-sized to enterprise level companies are able manage all their social channels in one place, while delivering data-driven, more personalized experiences across touchpoints. 
Together Falcon and Zendesk help community managers and support agents to save time and ease the complexity of managing high message volumes. The 2-way integration between Falcon and Zendesk enables community managers to escalate comments published on their social profiles and handle them as support cases. These include: Facebook, Twitter, Google+, YouTube , LinkedIn, Tumblr and Instagram.",,,An integration driving more meaningful two-way customer engagement,Free,Falcon Social,An integration driving more meaningful two-way customer engagement,Ticketing System,,mailto:support@falcon.io,,https://www.zendesk.com/apps/support/6231/falconio/
2022-01-09,09:45:06 AM,Zalo Integration,,https://262108.apps.zdusercontent.com/262108/assets/1595388249-fb3823867c743d59d479f31b0a1293cc/logo.png?w=256&q=75,support,"Zalo Channel from Quesera
Zalo is Vietnam’s premier chatting platform, with more than 100 million users worldwide. On a daily basis, people send about 900 million messages, make 50 million minutes of calls, and deliver 45 million pictures through the app.
Zalo has introduced Zalo Pay and achieved great success while tailing by other e-payment competition.
With Zalo Channel integration, Zendesk clients can connect and interact with their customers and Zalo users directly and help you create and handle all Zalo messages into your Zendesk workflows.
Some of the features such as:

Seamless messages changes between Zalo & Zendesk Support tickets
Support multimedia on tickets & Zalo ( video, voice records, photos, 
contacts, files)
Define ticket type, priority and tags for your incoming Zalo messages/support 
Customisable Hello Message for your customer",,,Channel integration to use Zalo OA into Zendesk Support.,"Free 14-day trial, then $10.00 per agent, per month",,Channel integration to use Zalo OA into Zendesk Support.,Ticketing System,1.0,mailto:contact@quesera.sg,https://quesera.sg/,https://www.zendesk.com/apps/support/262108/zalo-integration/
2022-01-09,09:45:07 AM,Hellonext,,https://532222.apps.zdusercontent.com/532222/assets/1629307972-40ab4ad3bbc1c8ec3f1119a66161f527/logo.png?w=256&q=75,support,"Hellonext is a customer feedback software that helps product and customer support teams make better product decisions. It lets your customers request new features, vote on existing ones, and keep themselves updated in one single platform.
Hellonext for Zendesk integration make it easy to capture and manage user feedback or feature requests right within Zendesk in a tidy way.
When there is a new update to the feature requests, Hellonext automatically sends an update to related customers about the progress.",,,Quickly capture user feedback with Hellonext.,Free,Skcript Engineering,Quickly capture user feedback with Hellonext.,Ticketing System,1.0,mailto:developer@skcript.com,https://hellonext.co/,https://www.zendesk.com/apps/support/532222/hellonext/
2022-01-09,09:45:08 AM,Jotform,,https://247905.apps.zdusercontent.com/247905/assets/1634627575-d31fd1ab148633dfc643a5798953ce77/logo.png?w=256&q=75,support,"Jotform is a free online form builder that lets you create and share powerful forms without any coding. With a simple drag-and-drop interface that offers advanced customization options, it will only take a few minutes to make your form look and work exactly how you want it to!
Whether you’re processing support tickets, order requests, or responding to customer feedback, do it seamlessly with Zendesk’s Jotform integration. Simply embed a custom contact form, feedback form, or lead gen form in your website to instantly receive responses online. Then when you receive a new submission, it will automatically be sent to Zendesk as a new support ticket — ready to be tackled by your team. Sign up for a free account with Jotform.",,,Turn Jotform submissions into Zendesk support tickets,Free,Jotform,Turn Jotform submissions into Zendesk support tickets,Ticketing System,,mailto:support@jotform.com,https://www.jotform.com/,https://www.zendesk.com/apps/support/247905/jotform/
2022-01-09,09:45:10 AM,Chatdesk Trends,https://i.vimeocdn.com/video/732270161_640.png,https://228104.apps.zdusercontent.com/228104/assets/1583352450-43b7985d43a3b76f1ab134f0d7b94b94/chat/logo.png?w=256&q=75,chat,"Automatic Tagging
Get all your customer feedback in one place. No more manual tagging and reporting. Unlimited Trends dashboard users.
Chatdesk Trends does Automatic Tagging of customer feedback across Email, Chat, Social media messages, Product reviews, Amazon reviews, App Store reviews, NPS / CSAT Surveys (e.g. product feedback, sentiment, etc).
Leading brands like Gap, Everlane, BarkBox and more use Chatdesk for their Voice of Customer reporting. Companies use the solution to easily identify product defects and increase repeat sales.
Checkout the video to see how you can save time and drive more conversions by using Chatdesk.

Easily analyze your Zendesk:

Get granular insights. Top reasons for contact, Product defects, Shipping issues, Top reasons for returns and cancellation, Website / App bugs.
Drive business impact. Reduce contact volume, Improve self service, Increase website conversion, Product merchandising, Increase repeat sales, Powerful reporting for executives, Benchmarking trends over time.
Impact for our customers.
10% Increase in conversion from website changes
15%+ Reduction in customer contacts
1000+ Hours saved per year from previous manual tagging & reporting.

Launch a FREE TRIAL in minutes:

No dev work or pre-work needed.
Unlimited Trends dashboard users.
90%+ average tagging accuracy across 70+ tags.
Filter feedback by date, channel, product, sentiment.
Custom tags and filters that are specific to your business (e.g. product defects).
Search across all your messages and tickets.
Export data to CSV or your data warehouse.

Create a FREE account at www.chatdesk.com/trends
Have questions? Email info@chatdesk.com",3,5,"Easily analyze messages from Zendesk email, chat, social, reviews, NPS surveys, etc",Free,Chatdesk,"Easily analyze messages from Zendesk email, chat, social, reviews, NPS surveys, etc",Live Chat and Messaging,,mailto:info@chatdesk.com,https://www.chatdesk.com/,https://www.zendesk.com/apps/chat/228104/chatdesk-trends/
2022-01-09,09:45:11 AM,Upscope Co-browsing,,https://248285.apps.zdusercontent.com/248285/assets/1641475394-c6e1ab5cac2e64287843cf3f2767040c/support/logo.png?w=256&q=75,support,"Upscope Co-browsing is for instantly seeing what your customer sees, without downloads. It replaces old download based screen sharing, sending screenshots or asking customers lots of questions on what the problem is.
In one click from Zendesk you can not only see what the customer sees but also send your cursor over the internet to appear on their screen to click for them and type for them, as if you're sitting next to them.

See what they see in one click from Zendesk without downloads.
Scroll, click and type for them on their computer by co-browsing WITH them.
Securely limited to seeing your own website and not their private desktop.

You can now onboard and support even your least technical customers by instantly seeing their screen and clicking and typing for them when they get stuck.

Save 30% in time on each support request by instantly seeing the problem.
Increase your conversion and retention by rapidly fixing problems and educating customers.
Raise your NPS and CSAT scores by providing fast memorable resolutions.
Support staff will enjoy helping customers and not have to repeat themselves.

Start your free trial here.",1,5,Cobrowse with your customers instantly,Free,Upscope,Cobrowse with your customers instantly,Ticketing System,1.2,mailto:support@upscope.io,https://upscope.io/,https://www.zendesk.com/apps/support/248285/upscope-co-browsing/
