date,time,name,images,logo,category,details,features,tagline,priceline,developer,timeline,ratings_count,rating,installs,help,tags,editions,platform,url
2022-01-09,12:00:17 AM,Numintec for Zoho,"https://mp-img1.zoho.com/view/extension/167000001040329, https://mp-img2.zoho.com/view/extension/167000001040331, https://mp-img2.zoho.com/view/extension/167000001040333, https://mp-img3.zoho.com/view/extension/167000001040335",https://mp-img1.zoho.com/view/logo/ec2042a6-f9f3-4c10-b958-0f07228c0a51,Telephony,"PBX and Contact Center application 100 percent in cloud. Powerful IVR and graphical web interface. Voice , chat and mail communications in the same environment. Ready to use in a few steps. You can work with local numbers wherever you are.","Click To Call within Zoho:Identify your customers through incoming calls.You can manage the calls directly from your PC or Tablet, via the Softphone, or you can use the landline phone if you prefer Automatic call recording within Zoho. Advanced PBX in the cloudZinvox also offers you the possibility of an advanced PBX in the cloud, all under pay-per-use without requiring any investment in hardware. Management of calls and chats:By incorporating the Zinvox chat module into your web, you can manage chats in the same way as a call.. Unlimited APIs for PhoneBridge",Numintec is a global telecommunications company specialized in Communications Cloud services.,Free,SalesIQ,"Feb 18, 2019",0.0,0,0,https://zinvox.com/en/for-zoho-crm/,Telephony,"Standard, Professional, Enterprise",Phonebridge,https://marketplace.zoho.com/app/salesiq/numintec-for-zoho-crm
2022-01-09,12:00:30 AM,Sipgate for Zoho,"https://mp-img1.zoho.com/view/extension/167000003343891, https://mp-img2.zoho.com/view/extension/167000003343893, https://mp-img2.zoho.com/view/extension/167000000016229, https://mp-img3.zoho.com/view/extension/167000000016231",https://mp-img1.zoho.com/view/logo/501dc80e-fd04-4217-8002-ac27c156e589,Telephony,"Sipgate is a fully featured, web hosted business-PBX solution with full mobile phone integration. Serving more than 50,000 users, Sipgate is one of the largest business telephony providers in Europe.",,Cloud based business-PBX with full VoIP and mobile phone integration in Zoho,Paid,Desk,"Jul 6, 2016",3.3,,,,Telephony,"Professional, Enterprise, CRM Plus, Zoho One",Phonebridge,https://marketplace.zoho.com/app/desk/sipgate
2022-01-09,12:00:39 AM,Attendance Management,"https://mp-img1.zoho.com/view/extension/167000000033047, https://mp-img2.zoho.com/view/extension/167000000033049, https://mp-img2.zoho.com/view/extension/167000000033051, https://mp-img3.zoho.com/view/extension/167000000033053",https://mp-img1.zoho.com/view/logo/3a88da75-a8b4-4467-b5e7-f32f34d7f1ea,Education,"Gone are the days when a professor manually noted students' attendance in a ledger. Enter and manage attendance, send notifications to parents, and make each day count with this application.","Authorize teachers to mark attendance and categorize classes as canceled, half-day, or full- day.. Categorize users as students or teachers.. Send email and SMS notifications about upcoming classes, school events, and more to students and staff.. Assign teachers by the classes they teach.",Manage students' attendance.,Free,Zoho Corporation,"Mar 27, 2017",0.0,0,500,,Education,"Standard, Professional, Enterprise",Custom Apps,https://marketplace.zoho.com/app/customapps/attendance-management
2022-01-09,12:00:44 AM,Vodia for Zoho,"https://mp-img1.zoho.com/view/extension/167000003521853, https://mp-img2.zoho.com/view/extension/167000003521855, https://mp-img2.zoho.com/view/extension/167000003521857, https://mp-img3.zoho.com/view/extension/167000003521859",https://mp-img1.zoho.com/view/logo/388126d5-f885-4785-adb3-e5bc11d272de,Sales,"Vodia's phone system integrates with Zoho CRM with a click of a button so agents can know who is calling from the Zoho pop-up, log the calls, click to dial, and much more.","Get pop-ups for incoming calls so you know more about the contact before even picking it up. Enter details of the call and it will be logged in the activities along with the call. Pick up the call, hold/resume, or end the call from the call pop-up. Click to call from Zoho contacts",Add a telephony layer to Zoho to make calling convenient,Free,Recruit,"Jun 16, 2021",0.0,0,0,https://doc.vodia.com/docs/zoho-crm,"Contact Tracking, Click to dial, Call Information, PBX, Office Phone System, VoIP, Vodia, Business Phone System","Standard, Professional, Enterprise, Zoho One, People Plus",Phonebridge,https://marketplace.zoho.com/app/recruit/vodia-for-zoho
2022-01-09,12:00:59 AM,BigCommerce for Zoho Campaigns,"https://mp-img1.zoho.com/view/extension/167000002764791, https://mp-img2.zoho.com/view/extension/167000002764793, https://mp-img2.zoho.com/view/extension/167000002764795, https://mp-img3.zoho.com/view/extension/167000002764797",https://mp-img1.zoho.com/view/logo/a57da84b-7842-4970-ae00-d0c044f98cca,Marketing,This ecommerce platform helps you launch your product online to speed up your business. Promote your products in store with the help of BigCommerce and integrate your account with Zoho Campaigns to engage with your contacts.,"View your product's store, their codes, and the rest of their details (including price, the time needed, and many more).. Using Zoho Campaigns, you can segment your contacts in BigCommerce based on their purchase and send email campaigns based on criteria for relevant marketing communications.. Get detailed reports of revenue generated via BigCommerce and through Zoho Campaigns after sending promotional emails once the store is connected with your Zoho Campaigns account.. Automated emails like abandoned carts and purchase follow-up series templates are available in Zoho Campaigns to re-engage with your customers.",An ecommerce platform to meet your online business needs.,Free,Campaigns,"Sep 3, 2020",0.0,0,0,https://help.zoho.com/portal/en/kb/campaigns/user-guide/ecommerce-solutions/ecommerce-solutions-for-bigcommerce/articles/using-zoho-campaigns-for-bigcommerce,"ecommerce email marketing, ecommerce solution, purchase followup emails, ecommerce automation, ecommerce templates, Bigcommerce","Free, Subscription, Pay as you go, CRM Plus, Zoho One",Sigma,https://marketplace.zoho.com/app/campaigns/bigcommerce-for-zoho-campaigns
2022-01-09,12:01:06 AM,CareerOne,https://mp-img1.zoho.com/view/extension/167000000111467,https://mp-img1.zoho.com/view/logo/298501b2-ca85-42ff-85f3-6e2acdc17216,Job Boards,CareerOne is one of Australia's most trafficked websites in the field of employment.,It is brought up by News Digital Media and Monster just for Australia to provide clients with a variety of advertising opportunities in order to attract a highly competitive candidate pool.. Regions : Australia,CareerOne operates within Australia and caters SMBs to hire with a customisable recruitment suite.,Free,Recruit,"Dec 10, 2017",0.0,0,0,https://www.careerone.com.au/contact-us/?/contactus/,Job Boards,"Free, Standard, Professional, Enterprise, Zoho One, People Plus",Built-in App,https://marketplace.zoho.com/app/recruit/careerone
2022-01-09,12:01:15 AM,MYOB for Zoho Desk Powered by Zoho Flow,"https://mp-img1.zoho.com/view/extension/167000002957491, https://mp-img2.zoho.com/view/extension/167000002957493, https://mp-img2.zoho.com/view/extension/167000002957495, https://mp-img3.zoho.com/view/extension/167000002957497",https://mp-img1.zoho.com/view/logo/23c506be-e363-4c91-9be7-9f9d4b04ee8a,Finance,"MYOB is online invoicing software for small businesses. With this extension, you can send branded invoices, track expenses, and enable recurring invoices to manage subscriptions.Using MYOB for Zoho Desk powered by Zoho Flow, customer support agents can easily create tickets for MYOB customers and share invoices and estimate information without leaving Zoho Desk.",Keep track of new MYOB customers by adding them as contacts in Zoho Desk. You can also map customer data to relevant fields in a Zoho Desk contact so that it provides more context for your agents.. New invoices in MYOB are added as new tickets in Zoho Desk.. New contacts in MYOB are also added as new contacts in Zoho Desk.,"Managing contacts, accounts, and invoices made simple through Zoho Flow.",Free,Desk,"Dec 7, 2020",0.0,0,0,https://writer.zoho.com/writer/open/mfc0s715d2189bb734e2da1eba6719556f25d,"Estimate, Invoices, Expense entry, MYOB","Standard, Professional, Enterprise, CRM Plus, Zoho One",API,https://marketplace.zoho.com/app/desk/myob-for-zoho-desk-powered-by-zoho-flow
2022-01-09,12:01:19 AM,DATEV Export for Zoho Books,"https://mp-img1.zoho.com/view/extension/167000003028013, https://mp-img2.zoho.com/view/extension/167000003028007, https://mp-img2.zoho.com/view/extension/167000003028009, https://mp-img3.zoho.com/view/extension/167000003028017",https://mp-img1.zoho.com/view/logo/22cd96dc-5e1b-4077-96a9-75a01791458f,Finance,"To reduce time spent redoing the same work, all accounting-related data (invoices, credit notes, bills, vendor credits, expenses, any bank or cash transactions) and, if necessary, associated receipt images and invoice PDFs, is exported from Zoho Books. The data is exported as a transaction batch, which contains all the accounting information needed in DATEV, which can then be imported directly. Any associated documents are exported for the document transfer to DATEV Unternehmen online with the links to the relevant transactions kept intact.Note: DATEV is a registered trademark of DATEV eG",Correct handling of DATEV tax keys and use of any chart of accounts. Support of personal accounts for creditors (vendors and employees) and debtors (customers). Customizable export period. Fully encrypted data with user-defined passwords,Allows for seamless accounting by exporting all the data required by your tax advisor from Zoho Books to DATEV.,Paid,Books,"Dec 9, 2020",5.0,2,2,https://zoho-datev.it-beratung.loebhard.com/user_guide,"DATEV Arbeitsplatz, Accounting, DATEV, Finance, DATEV Buchungsstapel, DATEV Unternehmen online, Book Keeping, Tax Advisor, Zoho Books, Germany","Standard, Professional, Premium, Enterprise, Elite, Ultimate",API,https://marketplace.zoho.com/app/books/datev-export-for-zoho-books
2022-01-09,12:01:23 AM,Bulutsantralim Extension for Zoho,"https://mp-img1.zoho.com/view/extension/167000003401915, https://mp-img2.zoho.com/view/extension/167000001608317, https://mp-img2.zoho.com/view/extension/167000001607583, https://mp-img3.zoho.com/view/extension/167000001608321",https://mp-img1.zoho.com/view/logo/3e5e9fcb-3751-4a67-925d-b76de84d4f9b,Telephony,"Bulutsantralim is next generation cloud based telephony softswitch that you can use anywhere with an internet connection. Providing you a more secure and cost effective communication infrastructure, it requires no upfront investment or commitment. Whole world is your new office! Bulutsantralim is quick to setup, always up to date, easy to customize and integrate with it's friendly user interface. Bulutsantralim has low running costs and grows with your needs. You can visit our web site https://www.bulutsantralim.com for more information and registration.","Initiate, hold/mute and hangup calls within Zoho. Schedule calls, list successful or missed calls, listen to call recordings and get detailed call reports all within Zoho. View the customer name on incoming calls",Zoho Products and Bulutsantralim will work for you with this complete integration,Free,Desk,"Oct 7, 2019",4.7,,,https://www.bulutsantralim.com/entegrasyonlar/zohocrm-bulutsantralim-entegrasyonu/,"Phonebridge, PBX, Telephony, VoIP, Business Phone System","Professional, Enterprise, CRM Plus, Zoho One",Phonebridge,https://marketplace.zoho.com/app/desk/bulutsantralim-extension-for-zoho-crm
2022-01-09,12:01:31 AM,Careerjet,https://mp-img1.zoho.com/view/extension/167000000111447,https://mp-img1.zoho.com/view/logo/65e5761c-163a-49b1-9e65-e312bbfd842b,Job Boards,"Careerjet is a job search engine designed to map the huge selection of job offerings available on the internet in one extensive database by referencing job listings originating from job boards, recruitment agency websites and large specialist recruitment sites.","The job offerings themselves are not hosted by Careerjet and users are always redirected to the original job listing. Essentially, Careerjet acts as traffic driver to those sites.. Careerjet's job search engine network encompasses over 90 countries, featuring separate interfaces that are translated into 28 languages.",Send your job opening to over 90 countries with CareerJet,Free,Recruit,"Dec 10, 2017",0.0,0,0,http://www.careerjet.co.in/about/contact.html,Job Boards,"Free, Standard, Professional, Enterprise, Zoho One, People Plus",Built-in App,https://marketplace.zoho.com/app/recruit/careerjet
